count,name,date,type,loc,viaf,ulan,source,wikidata,gnd
1906,"Sargent, John Singer",1856-1925,person,http://id.loc.gov/authorities/names/n50019335,http://viaf.org/viaf/12466780,http://vocab.getty.edu/ulan/500023972,data,http://www.wikidata.org/entity/Q155626,https://d-nb.info/gnd/118794582
1214,"Rubens, Peter Paul",1577-1640,person,http://id.loc.gov/authorities/names/n79055561,http://viaf.org/viaf/56647196,http://vocab.getty.edu/ulan/500002921,data,http://www.wikidata.org/entity/Q5599,https://d-nb.info/gnd/11860354X
1151,"Stuart, Gilbert",1755-1828,person,http://id.loc.gov/authorities/names/n50083265,http://viaf.org/viaf/61689381,http://vocab.getty.edu/ulan/500010392,data,http://www.wikidata.org/entity/Q41402,https://d-nb.info/gnd/11879924X
1031,"Sully, Thomas",1783-1872,person,http://id.loc.gov/authorities/names/n83042764,http://viaf.org/viaf/62433781,http://vocab.getty.edu/ulan/500006873,data and vocab,http://www.wikidata.org/entity/Q786545,https://d-nb.info/gnd/122589734
1004,"Van Dyck, Anthony",1599-1641,person,http://id.loc.gov/authorities/names/n50070302,http://viaf.org/viaf/17231738,http://vocab.getty.edu/ulan/500115190,data,http://www.wikidata.org/entity/Q150679,https://d-nb.info/gnd/118528386
980,"Reynolds, Joshua",1723-1792,person,http://id.loc.gov/authorities/names/n84168483,http://viaf.org/viaf/27081216,http://vocab.getty.edu/ulan/500004539,data,http://www.wikidata.org/entity/Q194402,https://d-nb.info/gnd/118744771
972,"Gainsborough, Thomas",1727-1788,person,http://id.loc.gov/authorities/names/n79055449,http://viaf.org/viaf/29542582,http://vocab.getty.edu/ulan/500115200,data,http://www.wikidata.org/entity/Q192720,https://d-nb.info/gnd/118689185
858,Rembrandt Harmenszoon van Rijn,1606-1669,person,http://id.loc.gov/authorities/names/n79142935,http://viaf.org/viaf/64013650,http://vocab.getty.edu/ulan/500011051,data and vocab,http://www.wikidata.org/entity/Q5598,https://d-nb.info/gnd/11859964X
840,"Degas, Edgar",1834-1917,person,http://id.loc.gov/authorities/names/n79022903,http://viaf.org/viaf/41863744,http://vocab.getty.edu/ulan/500115194,data,http://www.wikidata.org/entity/Q46373,https://d-nb.info/gnd/118524291
806,"Corot, Jean-Baptiste-Camille",1796-1875,person,http://id.loc.gov/authorities/names/n50020661,http://viaf.org/viaf/4940255,http://vocab.getty.edu/ulan/500115390,data,http://www.wikidata.org/entity/Q148475,https://d-nb.info/gnd/118522256
749,"Goya, Francisco",1746-1828,person,http://id.loc.gov/authorities/names/n79003363,http://viaf.org/viaf/54343141,http://vocab.getty.edu/ulan/500118936,data,http://www.wikidata.org/entity/Q5432,https://d-nb.info/gnd/118541064
