id,uri
.b10124585,https://artresearch.net/resource/pharos/artwork/1784a9fa1c2bf6ef6a5dd88ad59ffa28d72cd3e5
.b10124615,https://artresearch.net/resource/pharos/artwork/1784cc064cc10f7ac9471420ae096ab8bbb6f419
.b10124597,https://artresearch.net/resource/pharos/artwork/288edf34b262017490321b584501718667af4847
.b10124767,https://artresearch.net/resource/pharos/artwork/237622da00765060b1dfc432496b5248ac2a5a36
.b10124834,https://artresearch.net/resource/pharos/artwork/1a3fd63d5df147606e3078907f8003d814f4dac5
.b10124901,https://artresearch.net/resource/pharos/artwork/1bcfe1b81a32eac5dda9e8801621df68c59d7a9b
.b10124846,https://artresearch.net/resource/pharos/artwork/27d22d6aed31964833f92c3868ad4b02e5547862
.b10125097,https://artresearch.net/resource/pharos/artwork/076d217dddb1acb7f21326ddd31e8efef988c178
.b10124962,https://artresearch.net/resource/pharos/artwork/22d622bdadb998e0cac80893f4dc8f87156bd7de
.b10124998,https://artresearch.net/resource/pharos/artwork/227b50fa5ef94199eba43dd61445a26942f3d009
.b1012455x,https://artresearch.net/resource/pharos/artwork/6ea5c8467c71bd367c61fde7322e704f619c0e9a
.b10124986,https://artresearch.net/resource/pharos/artwork/34eb61d5389377b2f740310dfd3254f317a4c4b4
.b10125012,https://artresearch.net/resource/pharos/artwork/5d0e518e731719a04e9160087b8a24a048ccc4cb
.b10125048,https://artresearch.net/resource/pharos/artwork/5d31e748379adce7c3596c62469055a488a59747
.b10124548,https://artresearch.net/resource/pharos/artwork/06725db2d28f866809b0ea7d6710a4a00af58c9c
.b10124779,https://artresearch.net/resource/pharos/artwork/05bfef94dee01041483a2a04c70d9c3514b07e2d
.b10124718,https://artresearch.net/resource/pharos/artwork/2131e9e44b3367b45fa06b9666ed676fc6e80e9f
.b10124573,https://artresearch.net/resource/pharos/artwork/397dd6db63f40234dacc9e0234e1612f71eee99a
.b10124913,https://artresearch.net/resource/pharos/artwork/07af8eb740f1eb815bde0727b6408ff150ddd225
.b10124780,https://artresearch.net/resource/pharos/artwork/31cb32ba9950809c7ff691b0d45af4d85dad8957
.b10124822,https://artresearch.net/resource/pharos/artwork/310533c83f56c735132c64bcb9312dac21ae47b7
.b10125231,https://artresearch.net/resource/pharos/artwork/01b30eec60c1f40a8a7ebbda287d5a512240c479
.b10125115,https://artresearch.net/resource/pharos/artwork/0fba812b35729f819ae98a18ef2096678e7432d0
.b10124895,https://artresearch.net/resource/pharos/artwork/34dcf5a8ffef68bdc401ad3aa913ee6dd17f4741
.b1012469x,https://artresearch.net/resource/pharos/artwork/698ce72cee6547a84b857cdad6e86189bc2ca8d4
.b10124706,https://artresearch.net/resource/pharos/artwork/6a6c7570046d20b7015cc4ad26c33e973a02c5a1
.b10124858,https://artresearch.net/resource/pharos/artwork/5a75d7828ffc3034fb102792c03fad91567069fa
.b10124937,https://artresearch.net/resource/pharos/artwork/5d44760b6dbfc31ec169e48827e9917c7749c148
.b10124652,https://artresearch.net/resource/pharos/artwork/8b9f9484d9e762671b736fc9627ee0fe51243391
.b10124627,https://artresearch.net/resource/pharos/artwork/9bf6ccbdeb4b0402aafbb242f3de7a9317fef197
.b10124676,https://artresearch.net/resource/pharos/artwork/9a6fe5ee9e75b12b1632ab709e0ac97a2e87c454
.b1012472x,https://artresearch.net/resource/pharos/artwork/03297a098ea7efd6607a0cb219e3efc5d5a53ec0
.b10124731,https://artresearch.net/resource/pharos/artwork/0807fd9422fab05b6fe807c4e76fc19da0fcb3a8
.b10124743,https://artresearch.net/resource/pharos/artwork/054357b424e0ec48533861c078b3ebab02571e81
.b10124755,https://artresearch.net/resource/pharos/artwork/22c2ee019c7a863a1ac5af8759afb7acbc9f0dd8
.b10124792,https://artresearch.net/resource/pharos/artwork/060352702474f4c1b284cc3f7129068fb29a06bf
.b10124810,https://artresearch.net/resource/pharos/artwork/3300d2c8c56eaabaa0b84f75a194ebe87fd8f954
.b10124809,https://artresearch.net/resource/pharos/artwork/4f180ede72f58354d778bf93146f7bb6a1f35a36
.b1012486x,https://artresearch.net/resource/pharos/artwork/21f8471ea14f9d4a1e917b434a9b85db460277a3
.b10124949,https://artresearch.net/resource/pharos/artwork/030178509e43d43e4be0e073243d5c444ef12037
.b10124883,https://artresearch.net/resource/pharos/artwork/47b5aae87745b84c6fe398a3510636f62059ec5c
.b10124974,https://artresearch.net/resource/pharos/artwork/0ce7b7b852c43d94b69da2a18cc2e8eb53bc2904
.b10124925,https://artresearch.net/resource/pharos/artwork/3570b3224ad4462c6a8b987cb9b2898024bd9737
.b10124950,https://artresearch.net/resource/pharos/artwork/21cb185dcc9989a0bccbab53194e64785218b44d
.b10125036,https://artresearch.net/resource/pharos/artwork/15e82e3c2cdd9cbd44ee9a4c5357a349fe04cc60
.b10125024,https://artresearch.net/resource/pharos/artwork/3634f01855d030bfca3eb54aada116f382a69d96
.b10125061,https://artresearch.net/resource/pharos/artwork/1bae076555e016d1f2a309b343231f9fb817210c
.b10125085,https://artresearch.net/resource/pharos/artwork/18d2d2d20f6bdcd2265c03ddb05a92ee905d315c
.b10125127,https://artresearch.net/resource/pharos/artwork/1481974705e74aadd53cc36ae08d3fa196f1466c
.b10125103,https://artresearch.net/resource/pharos/artwork/2795a7fadad8dd62cc966009b15a63436bd1a573
.b10125073,https://artresearch.net/resource/pharos/artwork/50d8fa0df383e37a94f67d53e9d192c2910443ef
.b1012522x,https://artresearch.net/resource/pharos/artwork/571eff836d60fe901ac09895042b1fd20039599d
.b10124871,https://artresearch.net/resource/pharos/artwork/9ccd24c066d6cc2d0a55233b3642b9a6ba4226a2
.b10124603,https://artresearch.net/resource/pharos/artwork/20a79ca5fec251e59ca31ca3d0c4e67f5744a0ea
.b1012505x,https://artresearch.net/resource/pharos/artwork/c4cac35b23e2e7db726286a2731df4453eaf9ff2
.b10124664,https://artresearch.net/resource/pharos/artwork/5d72187134020f28fe9c4ec994030c9c2efa67c0
.b10124688,https://artresearch.net/resource/pharos/artwork/4da91e2c59b12b62b05f475a5b2b6af0bb72fd0b
.b10124561,https://artresearch.net/resource/pharos/artwork/b37c3bf42f97ed3bfe599a05905af30838ce227f
.b10124639,https://artresearch.net/resource/pharos/artwork/b128bed752a91447dcb90c1081214caef698a8df
.b1012553x,https://artresearch.net/resource/pharos/artwork/2e8381a63a33843d071064fbbf5515efac75c747
.b10125553,https://artresearch.net/resource/pharos/artwork/4738023651d63469ac012bdd052aab79da4b57d6
.b10125504,https://artresearch.net/resource/pharos/artwork/50cb38ae3cda44850ac4cc8b72b8d2165a671a9c
.b10125541,https://artresearch.net/resource/pharos/artwork/515bff6280b90312d5153ad9068a166161cf79ce
