count,country,region,city,tgn_or_wiki_label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri,notes
16954,United States,New York,New York,New York,New York,,,,inhabited places,Located at mouth of Hudson River; visited by Europeans 16th-17th century. Established at the southern tip of Manhattan Island as a trading post by colonists of the Dutch Republic; which served as the seat of the colonial government in New Netherland territory. It was seized by the British in 1664. Was a cosmopolitan center and the nation's largest city by the 18th century. Today it is a huge metropolis composed of five boroughs corresponding to five counties.,most populous city in the United States,http://vocab.getty.edu/tgn/7007567,http://www.wikidata.org/entity/Q60,
10737,England,,London,London,London,Londra,,Londres,inhabited places,"Longtime seat of the British Empire and capital of the United Kingdom. It lies astride the River Thames 50 miles (about 80 km) upstream from its estuary on the North Sea. It has burned and been rebuilt several times, notably in revolt of Queen Boudicca in 60 CE and in the Great Fire of 1666. It became a large trade center in the Middle Ages and expanded rapidly during the 16th and 17th centuries and during the Industrial Revolution. During World War II the city was heavily bombed. London is not to be confused with Greater London which refers to all 32 London boroughs (Inner and Outer London boroughs) and the City of London; London is used to refer to the 12 Inner London boroughs and the City of London.",capital and largest city of England and the United Kingdom,http://vocab.getty.edu/tgn/7011781,http://www.wikidata.org/entity/Q84,
8790,France,,Paris,Paris,Paris,Parigi,,Paris,inhabited places,"Paris is the city and capital of France, located in the north-central part of the country. It was founded more than 2,000 years ago on an island in the Seine River. The City of Paris itself covers an area of 41 square miles (105 square kilometers). It occupies a central position in the productive agricultural region known as the Paris Basin. It is the nation's most important center of commerce and culture. It was captured and fortified by the Romans in 52 BCE and ruled by various other groups such as the Clovis, Northmen, English, and Germans.",capital city and largest city of France,http://vocab.getty.edu/tgn/7008038,http://www.wikidata.org/entity/Q90,
5210,Italy,,Florence,Firenze,Florence,Firenze,Florenz,Florence,inhabited places,"Etruscan settlment was nearby at Fiesole. The original settlement at the site of modern Florence was established by Julius Caesar in 59 BCE as a settlement for his veteran soldiers; originally called ""Fluentia,"" at the head of navigation on the Arno river and on the Casian Way. It escaped capture by the Goths in the 5th century, and by the 12th century was a thriving center. It was torn apart in Medieval times by the violent Guelph/Ghibelline rivalry: a series of wars was fought from the mid-13th century through the early 14th century between Guelf-controlled Florence and its allies (Montepulciano, Bologna, and Orvieto) and its Ghibelline opponents (Pisa, Siena, Pistoia, and Arezzo).  Florence came under the ostensible (later actual) rule of the  Medici family from 1434; historic core named UNESCO World Heritage Site in 1982.","Italian city and commune, located in Tuscany",http://vocab.getty.edu/tgn/7000457,http://www.wikidata.org/entity/Q2044,
4887,United States,District of Columbia,Washington,Washington,Washington,,,,inhabited places,"Coextensive with District of Columbia; located on swampy ground at navigational head of Potomac River; site was selected by 1st US president George Washington; city plan was laid out by French engineer Charles L'Enfant; burned in War of 1812, but rebuilt.",capital city of the United States of America,http://vocab.getty.edu/tgn/7013962,http://www.wikidata.org/entity/Q61,
3731,United States,Pennsylvania,Philadelphia,Philadelphia,Philadelphia,,,,inhabited places,Located at confluence of Delaware and Schuylkill rivers; Quaker town was founded by W Penn; was thriving colonial center & active in American Revolution; later lost political and financial prestige to Washington & New York; was a strong anti-slavery power.,"largest city in Pennsylvania, United States",http://vocab.getty.edu/tgn/7014406,http://www.wikidata.org/entity/Q1345,
3671,Spain,,Madrid,Madrid,,,,,inhabited places,"Was Moorish fortress; taken by Ramiro II of León in 932 CE; captured again from Moors by Alfonso VI of Castile in 1083; rapid expansion under Bourbon kings, particularly Charles III in 18th cen.; under French occupation during Peninsular War 1808-1812.",capital of Spain,http://vocab.getty.edu/tgn/7010413,http://www.wikidata.org/entity/Q2807,
3609,Italy,,Rome,Roma,Rome,Roma,Rom,,inhabited places,"City positioned on 7 hills over the swampy Tiber river area; one of the oldest continuously occupied sites in Europe. Archaeological evidence attests to human occupation of the area from ca. 14,000 years ago, but the dense layer of later debris obscures Palaeolithic and Neolithic sites. Was an Etruscan city by 8th cen. BCE, their kings expelled and republic established by 500 BCE; soon ruled vast area and was center of Empire from 31 BCE; declined when capital moved to Constantinople in 330 CE; revived under popes.",capital and largest city of Italy,http://vocab.getty.edu/tgn/7000874,http://www.wikidata.org/entity/Q220,
2729,United States,Massachusetts,Boston,Boston,Boston,,,,inhabited places,"Located on Charles river; site of key pre-Revolutionary War events, Boston Massacre 1770 & Boston Tea Party 1773; expanded with textile mills, shipbuilding & trade 18th-19th cen.; noted for Faneuil Hall (1742-1805) & Paul Revere House (1680).","capital and largest city of Massachusetts, United States",http://vocab.getty.edu/tgn/7013445,http://www.wikidata.org/entity/Q100,
2567,United States,Maryland,Baltimore,Baltimore,Baltimore,,,,inhabited places,"Located at the head of Patapsco river estuary above Chesapeake Bay; settlement founded as outlet for local tobacco, developed as producer of clipper ships in 18th century; many citizens had Southern sympathies in Civil War, though state was pro-Union.","city in Maryland, United States",http://vocab.getty.edu/tgn/7013352,http://www.wikidata.org/entity/Q5092,
