count,country,region,tgn_or_wiki_label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri
22180,United States,New York,New York,New York,New York,New York,New York,states,Occupied by Algonquians (Mohican & Munsee) and Iroquois (Five Nations) when Europeans settled here in 17th cen.; French and Algonquians warred with English & Iroquois in 18th cen.; state was divided during Revolution; supported Union in Civil War.,state of the United States of America,http://vocab.getty.edu/tgn/7007568,http://www.wikidata.org/entity/Q1384
8325,United States,Massachusetts,Massachusetts,Massachusetts,,,Massachusetts,states,Settled by Amerindians by 2nd mill. BCE; Norsemen may have landed here in 1003; Europeans fished here in 16th cen.; Plymouth Colony established by English in 1620; played key role in Revolution; was intellectual center of nation until mid-19th cen.,state of the United States of America,http://vocab.getty.edu/tgn/7007517,http://www.wikidata.org/entity/Q771
6222,United States,Pennsylvania,Pennsylvania,Pennsylvania,,,Pennsylvanie,states,"Occupied mainly by Algonquian, with Iroquoian-speakers in E, when English, Dutch and Swedes settled here 17th cen.; haven for religious dissenters founded by W Penn in 1682; suffered battles in French and Indian wars; was strongly pro-Revolution and pro-Union.",state of the United States of America,http://vocab.getty.edu/tgn/7007710,http://www.wikidata.org/entity/Q1400
4900,United States,District of Columbia,District of Columbia,District of Columbia,,"Washington, D.C.",District de Columbia,national districts,"Federal district coextensive with city of Washington; US was first nation to plan a capital exclusively for seat of government; originally was a 10-mile square in Maryland & Virginia, on both banks of Potomac river; Virginia reclaimed its land in 1846.","federal district of the United States of America, containing the capital city of the United States, Washington",http://vocab.getty.edu/tgn/7015717,http://www.wikidata.org/entity/Q3551781
3462,United States,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,states,"Occupied by roving hunters by ca. 8000 BC, later was home to agrarian cultures; Algonquian-speakers, at war with Iroquois to N, lived here when Europeans settled in 17th cen.; fought in Revolution; state had split loyalties in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007516,http://www.wikidata.org/entity/Q1391
3121,United States,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,states,"Originally inhabited by 16 tribes of Algonquian Indians; Dutchman, A Block, was first European in the area; English arrived in 1633, battled with Amerindians & Dutch; area provided supplies for Revolution; characterized today by rural & shore communities.",state of the United States of America,http://vocab.getty.edu/tgn/7007159,http://www.wikidata.org/entity/Q779
3004,United States,California,California,California,,Kalifornien,Californie,states,"Inhabited by many ethnic nationalities including Mojave, Yuma and Chumash when Spanish arrived in 16th cen.; Franciscans established missions all along coast; went to Mexico in 1820s; went to US in 1848; great influx of settlers from E arrived in gold rush.",state of the United States of America,http://vocab.getty.edu/tgn/7007157,http://www.wikidata.org/entity/Q99
2436,United States,Ohio,Ohio,Ohio,,,Ohio,states,"Inhabited by 5000 BCE; center for Hopewell culture before 400 CE; home to Miami, Shawnee, Wyandot, Delaware and others when French & British arrived 17-18th cen.; Amerindians supported British in Revolution; 300,000 soldiers fought for Union in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007706,http://www.wikidata.org/entity/Q1397
2224,United States,Virginia,Virginia,Virginia,,,Virginie,states,"Inhabited by Tutelo Indians, Powhatan, Conoy & others; English settled here in early 17th cen., had white & black indentured servants, later employed slaves; fought in American Revolution; joined Confederacy & was site of bloody battles in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007919,http://www.wikidata.org/entity/Q1370
2021,United States,New Jersey,New Jersey,New Jersey,,,New Jersey,states,"Was summer home of Delaware (Lenni Lenape) Indians when Dutch, English, Scots-Irish and Swedes settled here in 17th cen.; Tory activity and several battles occurred in area during Revolution; sentiment was mainly pro-Union in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007565,http://www.wikidata.org/entity/Q1408
