count,country,region,city,geo_id,label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri,gnd,tgn,viaf,wikidata,number_of_results
33913,Italien,Lazio & Latium,Rom,08120311,Roma,Rome,Roma,Rom,,inhabited places,"City positioned on 7 hills over the swampy Tiber river area; one of the oldest continuously occupied sites in Europe. Archaeological evidence attests to human occupation of the area from ca. 14,000 years ago, but the dense layer of later debris obscures Palaeolithic and Neolithic sites. Was an Etruscan city by 8th cen. BCE, their kings expelled and republic established by 500 BCE; soon ruled vast area and was center of Empire from 31 BCE; declined when capital moved to Constantinople in 330 CE; revived under popes.",capital and largest city of Italy,http://vocab.getty.edu/tgn/7000874,http://www.wikidata.org/entity/Q220,https://d-nb.info/gnd/4050471-2,http://vocab.getty.edu/tgn/7000874,,,1
26091,Italien,Toscana & Toskana,Florenz,08120216,Firenze,Florence,Firenze,Florenz,Florence,inhabited places,"Etruscan settlment was nearby at Fiesole. The original settlement at the site of modern Florence was established by Julius Caesar in 59 BCE as a settlement for his veteran soldiers; originally called ""Fluentia,"" at the head of navigation on the Arno river and on the Casian Way. It escaped capture by the Goths in the 5th century, and by the 12th century was a thriving center. It was torn apart in Medieval times by the violent Guelph/Ghibelline rivalry: a series of wars was fought from the mid-13th century through the early 14th century between Guelf-controlled Florence and its allies (Montepulciano, Bologna, and Orvieto) and its Ghibelline opponents (Pisa, Siena, Pistoia, and Arezzo).  Florence came under the ostensible (later actual) rule of the  Medici family from 1434; historic core named UNESCO World Heritage Site in 1982.","Italian city and commune, located in Tuscany",http://vocab.getty.edu/tgn/7000457,http://www.wikidata.org/entity/Q2044,,,,,1
21982,Deutschland,Hessen,Marburg,00071316,Marburg,,,Marburg,,inhabited places,"The city of Marburg is situated on the Lahn River in central Germany. First mentioned under this name in 1130, it was a fortress of the landgraves of Thuringia in the 12th century. It later became the seat of the landgraves of Hesse. St. Elizabeth of Hungary spent the last three years of her life in Marburg, and until the Reformation her bones lay in a shrine in St. Elizabeth's Church. Marburg was the site of debates between Martin Luther and other reformers in 1529 over the nature of the Eucharist. The city is known for the Gothic castle of the Hessian landgraves with its famous Rittersaal and chapel, begun in 1277 and completed in 1493. It was also the site of Europe's first Protestant University, founded 1527. Today its economy is driven largely by tourism, plus a few industries such as chemical and precision instrument manufacture. The 2004 estimated population was 77,700.",,http://vocab.getty.edu/tgn/7012330,,https://d-nb.info/gnd/4037446-4,http://vocab.getty.edu/tgn/7012330,,,1
17195,Deutschland,Bayern,München,00001971,München,Munich,Monaco di Baviera,München,,inhabited places,"Capital of Bavaria and the third-largest city in Germany; situated on both sides of the Isar River, north of the Alps. Henry the Lion, duke of Bavaria, established Munich in 1157 as a mint and market for Benedictine monks from Tegernsee. It suffered declined during the 17th century under the Swedish occupation and the plague epidemic of the Thirty Years' War. It revived under the Bavarian king Ludwig I, whose building and urban planning activities defined the character that the city has today. The city witnessed the rise to power of the Nazi party in the 1920s and 1930s, and was heavily damaged in World War II, when Allied bombing destroyed about 40% of its buildings. Still, a great deal of historic architecture survives, much of its rebuilt or restored, including the church the Frauenkirche, built 1468-1488. The city boasts seven old city gates, and many fine building built in the 19th century under Ludwig I. Munich is an active cultural center for the whole of Europe, with many libraries, theaters, museums, art galleries, and concert venues. It has several of the largest breweries in Germany and is renowned for its annual Oktoberfest celebrations. Light industry and tourism are major economic activities. The 2004 estimated population was 1,241,100.","capital and most populous city of Bavaria, Germany",http://vocab.getty.edu/tgn/7004333,http://www.wikidata.org/entity/Q1726,https://d-nb.info/gnd/4127793-4,http://vocab.getty.edu/tgn/7004333,,,1
14791,Deutschland,Berlin,Berlin,00000301,Berlin,Berlin,Berlino,Berlin,,inhabited places,"The city of Berlin, coextensive with the state of Berlin, lies on both sides of the Spree River in its wide glacial valley in the center of unified Germany. Comprises 12 bezirke (boroughs), each of which contains a number of localities that may have historic roots in older municipalities that predate the formation of Greater Berlin in 1920. The area was originally two Wendish villages, Kölln and Berlin, were founded there in the 13th century, merged in the 14th century, and was named Berlin by the Hohenzollerns. It was strategically located at the center of the canal system of the Oder and Spree Rivers. Severely damaged in World War II; after the war, was divided into four occupation zones, each governed by one of the Allies. The Soviet-ruled East Berlin, together with the rest of East Germany, and West Berlin, a western enclave within East Germany, were governed separately from 1949. A concrete wall physically divided the city in 1961. The Berlin Wall and the political separation of the two parts of the city ended in 1989 as the communist eastern government collapsed. In 1990 the united Berlin became once again the capital of a united Germany. The largest city in Germany, its 2011 estimated population was 3.5 million.","federated state, capital and largest city of Germany",http://vocab.getty.edu/tgn/7003712,http://www.wikidata.org/entity/Q64,https://d-nb.info/gnd/4005728-8,http://vocab.getty.edu/tgn/7003712,,,1
10798,Großbritannien,,London,20953783,London,London,Londra,,Londres,inhabited places,"Longtime seat of the British Empire and capital of the United Kingdom. It lies astride the River Thames 50 miles (about 80 km) upstream from its estuary on the North Sea. It has burned and been rebuilt several times, notably in revolt of Queen Boudicca in 60 CE and in the Great Fire of 1666. It became a large trade center in the Middle Ages and expanded rapidly during the 16th and 17th centuries and during the Industrial Revolution. During World War II the city was heavily bombed. London is not to be confused with Greater London which refers to all 32 London boroughs (Inner and Outer London boroughs) and the City of London; London is used to refer to the 12 Inner London boroughs and the City of London.",capital and largest city of England and the United Kingdom,http://vocab.getty.edu/tgn/7011781,http://www.wikidata.org/entity/Q84,https://d-nb.info/gnd/4074335-4,,,,1
9239,Italien,Veneto & Venetien,Venedig,08120163,Venezia,Venice,Veneto,Venetien,Venise,inhabited places,"The islands of the Venetian lagoon were settled by refugees from Altino and Aquileia after the Lombard invasion of northern Italy in 568. The settlement expanded into the Adriatic and Aegean from the 11th century. It was ruled by Austria, then France, 1798-1848. It went to Italy in 1866 The entire city including the lagoon was named an UNESCO World Heritage Site in 1987.","capital city of Veneto, Italy",http://vocab.getty.edu/tgn/7018159,http://www.wikidata.org/entity/Q641,,,,,1
8295,Frankreich,Île-de-France,Paris,00002421,Paris,Paris,Parigi,,Paris,inhabited places,"Paris is the city and capital of France, located in the north-central part of the country. It was founded more than 2,000 years ago on an island in the Seine River. The City of Paris itself covers an area of 41 square miles (105 square kilometers). It occupies a central position in the productive agricultural region known as the Paris Basin. It is the nation's most important center of commerce and culture. It was captured and fortified by the Romans in 52 BCE and ruled by various other groups such as the Clovis, Northmen, English, and Germans.",capital city and largest city of France,http://vocab.getty.edu/tgn/7008038,http://www.wikidata.org/entity/Q90,,,,,1
7967,Deutschland,Berlin,Berlin,00000301,Berlin,Berlin,Berlino,Berlin,,inhabited places,"The city of Berlin, coextensive with the state of Berlin, lies on both sides of the Spree River in its wide glacial valley in the center of unified Germany. Comprises 12 bezirke (boroughs), each of which contains a number of localities that may have historic roots in older municipalities that predate the formation of Greater Berlin in 1920. The area was originally two Wendish villages, Kölln and Berlin, were founded there in the 13th century, merged in the 14th century, and was named Berlin by the Hohenzollerns. It was strategically located at the center of the canal system of the Oder and Spree Rivers. Severely damaged in World War II; after the war, was divided into four occupation zones, each governed by one of the Allies. The Soviet-ruled East Berlin, together with the rest of East Germany, and West Berlin, a western enclave within East Germany, were governed separately from 1949. A concrete wall physically divided the city in 1961. The Berlin Wall and the political separation of the two parts of the city ended in 1989 as the communist eastern government collapsed. In 1990 the united Berlin became once again the capital of a united Germany. The largest city in Germany, its 2011 estimated population was 3.5 million.","federated state, capital and largest city of Germany",http://vocab.getty.edu/tgn/7003712,http://www.wikidata.org/entity/Q64,https://d-nb.info/gnd/4005728-8,http://vocab.getty.edu/tgn/7003712,,,1
7006,Deutschland,Hessen,Frankfurt (Main),00001061,Frankfurt am Main,Frankfurt am Main,,Frankfurt am Main,Francfort-sur-le-Mein,inhabited places,"Frankfurt am Main is the largest city in the state of Hessen in western Germany, lying some 19 miles upstream on the Main River from the city of Mainz. Celts and Germanic people occupied the site in the first century BCE and by the Romans in the first and second centuries CE. The Franks took it over around 500, when if probably gained the name Frankfurt, meaning ""ford of the Franks, but was first mentioned as such by Charlemagne's biographer in the late 8th century. In 1356 it was designated the official site of the election of the German kings. It was a free imperial city from 1372 to 1806, then Napoleon I made it first the seat of government for the Confederation of the Rhine, then the capital of the Grand Duchy of Frankfurt. From 1816 to 1866 it was the seat of the Germann Federal Diet and thus de facto the capital of the German states. Following the Seven Weeks' War in 1866, it fell under Prussian rule where it remained until after World War I. It suffered heavy damage from bombardment in World War II, and most of its medieval Old City was destroyed. Historic structures that survived include the 8th-century Benedictine monastery, the Römer or medieval city hall, the 155-foot Eschenheim Tower, St. Bartholomew's Cathedral dating from 1239, and the Church of St. Paul. Modern Frankfurt am Main is a commercial and industrial center, famous for its many trade fairs, including the international book, car, and computer fairs. It is known for the manufacture of motor vehicles, pharmaceuticals, printing materials, and processed foods, especially sausages. It is a transportation center with a busy railway hub and the largest airport in Germany. The 2004 estimated population was 646,000.","city in Hesse, Germany",http://vocab.getty.edu/tgn/7005293,http://www.wikidata.org/entity/Q1794,https://d-nb.info/gnd/4018118-2,http://vocab.getty.edu/tgn/7005293,,,1
