count,country,region,geo_id,tgn_or_wiki_label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri,notes,gnd,tgn,viaf,wikidata
62021,Deutschland,Hessen,00001261,Hessen,Hesse,Assia,Hessen,Hesse,states,"The state of Hessen occupies 8,152 square miles in north-central Germany. Its territory forms the core of the medieval margraviate of Hessen, and extends west to east from the Rhine Plateau to the Thuringian Forest. The original landmargraviate of Hesse was founded from a portion of Thuringia. Its ruler, Henry I, came to hold the rank of prince in the Holy Roman Empire in 1292. Under Philip the Magnanimous, Hesse was twice partitioned and reunited, finally to be divided into four sections, one for each of his sons. In 1945 the modern state was created from the Hesse territories and part of Nassau. The capital is Wiesbaden and its largest city is Frankfurt am Main. The state is known for its educational institutions, and for the ruined castles and old churches along the Weser River, and the many half-timbered houses scattered throughout. The economy features agriculture on small or large scales, and a great deal of manufacturing, primarily in the south. The 2004 estimated population was 6,105,200",state in the center of Germany,http://vocab.getty.edu/tgn/7003678,http://www.wikidata.org/entity/Q1199,,,http://vocab.getty.edu/tgn/7003678,,
41348,Deutschland,Bayern,00000281,Bayern,Bavaria,Baviera,Bayern,Bavière,states,"Bavaria is the largest state in the nation of Germany, comprising the entire southeast portion of the country. The land consists mainly of mountains and high plateaus, measuring some 27,241 square miles in area. The area was inhabited by Celts in centuries before the Common Era. It was conquered by Rome in 38 BCE, ravaged by Lombards in the 5th century, then settled by Marcomanni and Baiuoarii ca. 520. It formed the core of the Frankish dukedom from the 6th century, and became Christian by the 9th century. In 788, Charlemagne overthrew the last Frankish duke and brought Bavaria into the Carolingian Empire. It joined the Holy Roman Empire in the 10th century. In 1180 the emperor gave Bavaria to the count palatine Otto of Wittelsbach, the founder of the powerful dynasty that ruled Bavarian until 1918. Bavaria greatly expanded its territory over time, though it suffered greatly during the War of Spanish Succession. In the 18th century it first opposed then allied itself with Napoleonic France, and in 1805 was elevated from a duchy to a kingdom. The kingdom switched allegiance between Austria and Prussia several times in the turbulent 19th century, finally joining the German Empire under Prussian leadership. It retained a great deal of autonomy however, in 1918 the royal dynasty was deposed and after much civil strife, in August 1919 Bavaria joined the Weimar Republic. After World War II, Bavaria was in the American-occupied zone, and became a state in the new Federal Republic of Germany. The modern state's economy is largely industry- and trade-based, with forestry and agriculture constituting only about 10%. The state has a rich cultural life, with music and theater taking high prominent, and traditional folk art still strong. The capital is Munich. The 2004 estimated population was 10,902,600.",federated state in the south of Germany,http://vocab.getty.edu/tgn/7003669,http://www.wikidata.org/entity/Q980,,,http://vocab.getty.edu/tgn/7003669,,
41251,Italien,Toscana & Toskana,00003281,Toscana,Tuscany,Toscana,Toskana,Toscane,regions,"Area was core of ancient Etruria; conquered by Romans 4th century BCE; ruled by Lombards, then Franks; most cities became independent communes 11th-12th centuries; saw great strife between Guelphs and Ghibellines; part of grand duchy of Florence from the 16th century.",region in central Italy,http://vocab.getty.edu/tgn/7009760,http://www.wikidata.org/entity/Q1273,,,,,
40363,Italien,Lazio & Latium,00001541,Lazio,Latium,Lazio,Latium,Latium,regions,Region of Italy comprising a hilly area with a narrow coastal plain in central Italy. Modern adminisrative region includes a part of the territory of ancient Latium.,administrative region of Italy,http://vocab.getty.edu/tgn/7003080,http://www.wikidata.org/entity/Q1282,,,,,
22885,Deutschland,Berlin,00000301,Berlin,Berlin,Berlino,Land Berlin,berlin,states,,"federated state, capital and largest city of Germany",http://vocab.getty.edu/tgn/7003670,http://www.wikidata.org/entity/Q64,,https://d-nb.info/gnd/4005728-8,http://vocab.getty.edu/tgn/7003712,,
20684,Deutschland,Nordrhein-Westfalen,20913500,Nordrhein-Westfalen,North Rhine-Westphalia,Renania Settentrionale-Vestfalia,Nordrhein-Westfalen,Rhénanie du Nord-Westphalie,states,"The state of North Rhine-Westphalia is located in west central Germany. It lies bordered by Belgium and the Netherlands to the west, Hesse to the east, Lower Saxony to the north, and Rhineland-Palatinate to the south.  It was formed after World War II of an amalgamation of Prussian Westfalen, the Northeim province of Prussia, and the state of Lippe. The area suffered extensive damage during World War II. The state has since grown and developed into Germany's industrial heartland, including the Saarland region, and contains one-fifth of its total population, 18,100,000 by a 2004 estimate.  ",state in Germany,http://vocab.getty.edu/tgn/7003677,http://www.wikidata.org/entity/Q1198,,,http://vocab.getty.edu/tgn/7003677,,
17565,Deutschland,Baden-Württemberg,00030320,Baden-Württemberg,Baden-Württemberg,,Baden-Württemberg,Bade-Wurtemberg,states,"Baden-Württemberg is a state in southwestern Germany, bordered by Switzerland in the south, France to the west, the state of Bavaria on the east, Rhineland-Palatinate on the northeast, and Hesse to the north. It measures some 13,804 square miles in area. Most of its people are Alemanni, relatives of the French Alsatians, plus Franconians, Palatinate people, and Swabians. Before the Romans occupied it, the main European trading artery was the River Rhein which runs through Baden-Württemberg. It also had immense hardwood forests, now largely cut. To the south are the Alps. The state was formed in the post-World War II occupational period from three former states in the American and French zones; this arrangement was ratified by a referendum in 1951 and made official in 1952. Its capital is Stuttgart. The 2004 estimated population was 10,721,600.",state in the southwest of the Federal Republic of Germany,http://vocab.getty.edu/tgn/7003692,http://www.wikidata.org/entity/Q985,,,http://vocab.getty.edu/tgn/7003692,,
16080,Frankreich,Île-de-France,,Île-de-France,Île-de-France,,Île-de-France,Île-de-France,regions,"Area was political center of old France, and has been hub of France ever since; most densely populated region of France; in addition to large uban area around Paris, is noted for fertile fields in outlying areas; see historical region, Île-de-France.",administrative region of France,http://vocab.getty.edu/tgn/7002883,http://www.wikidata.org/entity/Q13917,,,,,
13796,Italien,Veneto & Venetien,00003451,Veneto,Venetan,Veneto,,,regions,Settled by ancient Celtic people (Veneti) in 1st mill. BCE; ruled by Rome from 2nd cen. BCE; invaded by Huns in mid-5th cen. CE; area gained financial and military prominence in 15th cen.; was passed between France and Austria during 18th-19th cen.,region in Italy,http://vocab.getty.edu/tgn/7002997,http://www.wikidata.org/entity/Q1243,,,,,
9094,Italien,Lombardia & Lombardei,00001571,Lombardia,Lombardy,Lombardia,Lombardei,Lombardie,regions,"Inhabited by Gallic people; part of Roman Cisalpine Gaul from 3rd century BCE; core of Germanic Lombard kingdom from 569; ruled by Charlemagne from 774, by bishops of Milan from the 11th century, by Visconti family and Sforza dukes 14th-15th centuries, then by Hapsburgs.",administrative region in Northern Italy,http://vocab.getty.edu/tgn/7003237,http://www.wikidata.org/entity/Q1210,,,http://vocab.getty.edu/tgn/7003237,,
8797,Deutschland,Rheinland-Pfalz,00030348,Rheinland-Pfalz,Rhineland Palatinate,,Rheinland-Pfalz,,states,"The state of Rhineland-Palatinate, lying in southwestern Germany, is the ninth largest in the nation, measuring some 7664 square miles. It is bordered by Belgium, Luxembourg, and France to the south and west, and by the German states of North Rhine-Westphalia to the north, Saarland to the southwest, and Hesse and Baden-Württemberg to the east. Its territory has historically been fought over and partitioned among foreign powers. The modern state was created after World War II. Formerly a primarily agricultural state, it now relies mainly on industry and commerce. Its capital city is Mainz. The official census gave the 2005 population as 4,076,208.",federal state of Germany,http://vocab.getty.edu/tgn/7003682,http://www.wikidata.org/entity/Q1200,,,http://vocab.getty.edu/tgn/7003682,,
8326,Italien,Campania & Kampanien,00001381,Campania,Campania,Campania,Kampanien,Campanie,regions,"Administrative region of Italy. Productive agricultural area from ancient times; settled by Etruscans; taken by Samnites 5th century BCE, supported Greek colonies along coast; was Roman from 4th century BCE; later ruled by Goths, Byzantines, Lombards, and Normans; part of Two Sicilies from 1282.",region in Southern Italy,http://vocab.getty.edu/tgn/7003005,http://www.wikidata.org/entity/Q1438,,,,,
7468,Deutschland,Niedersachsen,00002061,Niedersachsen,Lower Saxony,Bassa Sassonia,Niedersachsen,Basse-Saxe,states,"Lower Saxony is the second largest state of Germany, its area comprising some 47613.35 square kilometers. It lies between The Netherlands in the west and the German states of Mecklenburg-Vorpommern and Saxony-Anhalt. It formed part of the historic Sachsen region. The people share a common Saxon origin and a common language, Plattdeutsch, related to Dutch, Frisian, and English. It received an influx of refugees during and after World War II. The modern state is a merger of four older districts: Hannover, Braunschweig, Oldenburg, and Schaumburg, created on November 1, 1946. The 2004 estimated population was 8,004,300.",state in North-West of Germany,http://vocab.getty.edu/tgn/7003676,http://www.wikidata.org/entity/Q1197,,,http://vocab.getty.edu/tgn/7003676,,
6357,Italien,Sicilia & Sizilien,00260568,Sicilia,Sicily,Sicilia,Sizilien,Sicile,regions,"The region comprises the large island of the same name and several nearby smaller islands. Sicily became a major center of revolutionary movements in the 19th century: as a result of Giuseppe Garibaldi's revolt, it was liberated from the Bourbons in 1860 and in the following year it was incorporated into the united kingdom of Italy. Sicily gained regional autonomy in 1947.",Italian region,http://vocab.getty.edu/tgn/7003122,http://www.wikidata.org/entity/Q1460,,,http://vocab.getty.edu/tgn/7003122,,
5710,Österreich,Wien,00003601,Wien,Vienna state,Vienna,Wien,Vienne,states,,capital of and state in Austria,http://vocab.getty.edu/tgn/7003030,http://www.wikidata.org/entity/Q1741,,,,,
5630,Italien,Marche & Marken,00260719,Marche,Marches,Marche,Marken,Marches,regions,"Inhabited early by Umbri and Picentes people; colonized by Greeks, later by Romans (3rd century BCE); invaded by Goths 5th century CE; portions ruled by Byzantines and Lombards; ruled by Pope in 8th century and again from the 13th century.",region in Italy,http://vocab.getty.edu/tgn/7003240,http://www.wikidata.org/entity/Q1279,,,,,
5337,Italien,Emilia-Romagna,00000921,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,,Émilie-Romagne,regions,"Rich agricultural area bordering Adriatic Sea; Emilia and Romagna fell to Lombards 5th century CE; Emilia went to Franks 8th century, duchy of Modena by 17th century, then to Parma and Piacenza; Romagna was ruled by Byzantines 6th century, and by Pope from 16th century.",region in Italy,http://vocab.getty.edu/tgn/7008516,http://www.wikidata.org/entity/Q1263,,,http://vocab.getty.edu/tgn/7008516,,
5289,Deutschland,Sachsen,00002681,Sachsen,Saxony,Sassonia,Sachsen,État libre de Saxe,states,"The east central German state of Saxony consists of the southeastern portion of what was formerly the nation of East Germany. In the 1950s three East German Bezirke, or national districts, were formed of the historic Saxon region. After the reunification of Germany, all or parts of these three districts were made into the German state of Saxony. It measures some 7080 square miles in area and has a population of about 4, 278,000. Its capital is Dresden. Except for the northern portion around Leipzig, which belongs to the North European Plain, the state is mostly mountainous in terrain. It is drained by the Elbe river, which runs northwest to southeast, and the Mulde, a tributary of the Elbe. Saxony's principal mountain range is the Ore Mountains, which run for about 100 miles along its southern border. The state has rich soil and its agriculture is highly developed, grains being important throughout most of the state, while cattle are the main product in the Ore Mountains. Forestry and the mining of tin, lead, and coal are also important. The main industries are the production of textiles and of machinery used in textile production, papermaking, printing, and mining. ",state in Germany,http://vocab.getty.edu/tgn/7003685,http://www.wikidata.org/entity/Q1202,,,http://vocab.getty.edu/tgn/7003685,,
5260,Deutschland,Sachsen-Anhalt,20913609,Sachsen-Anhalt,Saxony-Anhalt,Sassonia-Anhalt,Sachsen-Anhalt,Saxe-Anhalt,states,Formed of historic Anhalt region & part of historic Sachsen region.,state of Germany,http://vocab.getty.edu/tgn/7003687,http://www.wikidata.org/entity/Q1206,,,http://vocab.getty.edu/tgn/7003687,,
5150,Italien,Umbria & Umbrien,00003371,Umbria,Umbria,Umbria,Umbrien,Ombrie,regions,"Was home of ancient Umbri tribes, who spoke an Indo-European dialect and were concentrated here to escape Etruscan and Gallic pressure during 1st mill. BCE; later held by Romans, Lombards and Byzantines; city-states developed; went to Papal States in the 16th century.",region of Italy,http://vocab.getty.edu/tgn/7003125,http://www.wikidata.org/entity/Q1280,,,,,
4348,Deutschland,Bremen,00070371,Bremen,Bremen,Brema,Bremen,Brême,states,"The northern German state of Bremen, created in 1947, consists of the city of Bremen on the Weser River and the physically separate city of Bremerhaven, 37 miles away on the North Sea. It is the smallest of the states of Germany but is of great economic importance. Its 2004 estimated population was 664,500.",federated state of Germany,http://vocab.getty.edu/tgn/7003672,http://www.wikidata.org/entity/Q1209,,https://d-nb.info/gnd/4008135-7,http://vocab.getty.edu/tgn/7005286,,
3680,Deutschland,Thüringen,00003251,Thüringen,Thuringia,Turingia,Thüringen,Thuringe,states,"In southern Germany; much of the land is occupied by Thuringian Forest; Harz mountains form its northern border; Thuringian basin is fertile agricultural region, though economy of state is largely industrial.",federated state in the center of Germany,http://vocab.getty.edu/tgn/7003689,http://www.wikidata.org/entity/Q1205,,,http://vocab.getty.edu/tgn/7003689,,
3473,Vereinigte Staaten,New York,00260353,New York,New York,New York,New York,New York,states,Occupied by Algonquians (Mohican & Munsee) and Iroquois (Five Nations) when Europeans settled here in 17th cen.; French and Algonquians warred with English & Iroquois in 18th cen.; state was divided during Revolution; supported Union in Civil War.,state of the United States of America,http://vocab.getty.edu/tgn/7007568,http://www.wikidata.org/entity/Q1384,,,,,
2976,Italien,Piemonte & Piemont,00002481,Piemonte,Piedmont,Piemonte,Piemont,Piémont,regions,Part of the Roman Empire from 1st cen. BCE; established as a political unit by 10th cen.; went to Savoy in 1045; supported feudal states in 12th cen.; was nominal fief of Holy Roman Empire through Middle Ages; held by house of Savoy into 19th cen.,region in North-West Italy,http://vocab.getty.edu/tgn/7003120,http://www.wikidata.org/entity/Q1216,,,,,
2657,Deutschland,Hamburg,00001211,Hamburg,Hamburg,,,,states,,city and state in the North of Germany,http://vocab.getty.edu/tgn/7003673,http://www.wikidata.org/entity/Q1055,,,http://vocab.getty.edu/tgn/7005289,,
2066,Frankreich,Centre,,Centre-Val de Loire,Centre-Val de Loire,Centro-Valle della Loira,Centre-Val de Loire,Centre-Val de Loire,regions,,,http://vocab.getty.edu/tgn/7002877,,,,,,
1958,Italien,Puglia & Apulien,00000111,Puglia,Apulia,Puglia,Apulien,Pouilles,regions,"Was home to early Apulians and Greek colonists; came under control of republican Rome by 3rd century BCE; taken by Goths, Lombards and Byzantines; was duchy under Normans in 12th century; part of Kingdom of Two Sicilies and later of Holy Roman Empire.",region of Italy,http://vocab.getty.edu/tgn/7010380,http://www.wikidata.org/entity/Q1447,,,,,
