count,city,name,wikidata_uri
9466,Florenz,Gabinetto Disegni e Stampe degli Uffizi,http://www.wikidata.org/entity/Q3756440
7209,Marburg,Museum für Kunst und Kulturgeschichte der Philipps-Universität Marburg,http://www.wikidata.org/entity/Q50978681
6946,München,Neumeister Kunstauktionen,
6207,München,Bayerisches Nationalmuseum,http://www.wikidata.org/entity/Q631056
5877,Paris,Musée du Louvre,http://www.wikidata.org/entity/Q19675
5782,Marburg,Bildarchiv Foto Marburg,http://www.wikidata.org/entity/Q860570
5217,Düsseldorf,Museum Kunstpalast,
4604,Rom,Istituto Nazionale per la Grafica,http://www.wikidata.org/entity/Q3803778
4563,Paris,Musée National du Louvre,http://www.wikidata.org/entity/Q19675
4232,London,British Museum,http://www.wikidata.org/entity/Q6373
4159,Marburg,Central Collecting Point Marburg,
4159,Wiesbaden,Central Collecting Point Wiesbaden,
3835,Rom,Bibliotheca Hertziana,http://www.wikidata.org/entity/Q339759
3572,Berlin,"Staatliche Museen zu Berlin - Preußischer Kulturbesitz, Kupferstichkabinett - Sammlung der Zeichnungen und Druckgraphik",
3316,Florenz,Galleria degli Uffizi,http://www.wikidata.org/entity/Q51252
2901,Venedig,Fondazione Giorgio Cini,http://www.wikidata.org/entity/Q1435690
2868,Bremen,Kunsthalle Bremen,http://www.wikidata.org/entity/Q693591
2825,Darmstadt,Hessisches Landesmuseum Darmstadt,http://www.wikidata.org/entity/Q452362
2816,Windsor,Windsor Castle,http://www.wikidata.org/entity/Q42646
2693,München,Bayerische Staatsbibliothek,http://www.wikidata.org/entity/Q256507
2527,London,Sotheby's,http://www.wikidata.org/entity/Q654762
2510,Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,
2488,Kopenhagen,Statens Museum for Kunst,http://www.wikidata.org/entity/Q671384
2483,Wien,Graphische Sammlung Albertina,
2460,Würzburg,Martin von Wagner Museum der Universität,
2442,Marburg,Hessisches Staatsarchiv Marburg,
2358,Stuttgart,Staatsgalerie,
2351,Nürnberg,Germanisches Nationalmuseum,http://www.wikidata.org/entity/Q478695
2256,Chatsworth House,Trustees of the Chatsworth Settlement,
2245,Rom,Gabinetto Nazionale delle Stampe,
2162,Hamburg,Hamburger Kunsthalle,http://www.wikidata.org/entity/Q169542
2154,Leipzig,Museum der bildenden Künste,http://www.wikidata.org/entity/Q566661
2055,Edinburgh,National Gallery of Scotland,http://www.wikidata.org/entity/Q942713
1938,Berlin,"Antikensammlung, Staatliche Museen zu Berlin - Preußischer Kulturbesitz",
1922,Frankfurt (Main),Städel Museum,
1917,Florenz,Kunsthistorisches Institut in Florenz – Max-Planck-Institut,
1833,München,Staatliche Graphische Sammlung,
1787,Rom,Galleria Nazionale d'Arte Antica,http://www.wikidata.org/entity/Q1136614
1784,Berlin,"Gemäldegalerie, Staatliche Museen zu Berlin - Preußischer Kulturbesitz",
1762,Mailand,Biblioteca Ambrosiana,http://www.wikidata.org/entity/Q815611
1695,Madrid,Museo del Prado,http://www.wikidata.org/entity/Q160112
1686,Urbania,Biblioteca Comunale,
1642,Turin,Biblioteca Reale,
1572,Venedig,Museo Correr e Quadreria Correr,
1463,New York,Metropolitan Museum of Art,http://www.wikidata.org/entity/Q160236
1425,Palermo,Galleria Regionale della Sicilia,http://www.wikidata.org/entity/Q15111157
1388,Köln,Wallraf-Richartz-Museum,http://www.wikidata.org/entity/Q700959
1375,Rom,Casa di Goethe,
1367,Karlsruhe,Staatliche Kunsthalle,
1366,Braunschweig,Herzog Anton Ulrich-Museum,http://www.wikidata.org/entity/Q678082
1338,Lille,Musée des Beaux-Arts,
1304,Berlin,"Kunstgewerbemuseum, Staatliche Museen zu Berlin - Preußischer Kulturbesitz",
1273,Frankfurt (Main),Liebieghaus Skulpturensammlung,
1258,Vatikan,Musei Vaticani,http://www.wikidata.org/entity/Q182955
1257,Neapel,Museo e Gallerie Nazionali di Capodimonte,http://www.wikidata.org/entity/Q290549
1247,Frankfurt (Main),Deutsches Architekturmuseum,http://www.wikidata.org/entity/Q885179
1189,Florenz,Museo Nazionale del Bargello,http://www.wikidata.org/entity/Q388448
1168,Oxford,Ashmolean Museum of Art and Archaeology,
1148,Berlin,"Nationalgalerie, Staatliche Museen zu Berlin - Preußischer Kulturbesitz",
1131,Marburg,Sammlung Magdalene Kaminski,
1123,Rotterdam,Museum Boymans-van Beuningen,
1108,Wien,Kunsthistorisches Museum,http://www.wikidata.org/entity/Q95569
1101,Rom,Christie's,
1094,Frankfurt (Main),Städelsches Kunstinstitut und Städtische Galerie,http://www.wikidata.org/entity/Q163804
1087,Hildesheim,Dommuseum Hildesheim,
1074,Bremerhaven,Deutsches Schiffahrtsmuseum,
1073,London,Christie's,
1057,Mailand,Pinacoteca di Brera,http://www.wikidata.org/entity/Q150066
1051,Berlin,"Kupferstichkabinett, Staatliche Museen zu Berlin - Preußischer Kulturbesitz",
1040,Berlin,"Staatliche Museen zu Berlin - Preußischer Kulturbesitz, Kunstbibliothek",
1034,Berlin,"Galerie Fritz Gurlitt, Berlin",
1030,Madrid,Biblioteca Nacional,
1002,Köln,Wallraf-Richartz-Museum + Fondation Corboud,
955,Athen,Archäologisches Nationalmuseum Athen,
933,Vatikan,"Monumenti, Musei e Gallerie Pontificie",http://www.wikidata.org/entity/Q774940
920,Dresden,Staatliche Kunstsammlungen Dresden,http://www.wikidata.org/entity/Q653002
901,Weimar,Klassik Stiftung Weimar,http://www.wikidata.org/entity/Q315452
897,Stockholm,Nationalmuseum,
895,Stuttgart,Württembergische Landesbibliothek,http://www.wikidata.org/entity/Q317950
881,Essen,Museum Folkwang Essen,
877,Eton,Eton College,
861,Mainz,Landesmuseum Mainz,http://www.wikidata.org/entity/Q834183
859,London,National Gallery,
850,Venedig,Gallerie dell'Accademia,http://www.wikidata.org/entity/Q338330
808,Paris,Bibliothèque Nationale de France,http://www.wikidata.org/entity/Q193563
798,Ascoli Piceno,Pinacoteca Civica,
788,Ravenna,Biblioteca Classense,http://www.wikidata.org/entity/Q3639574
