count,value,sources,authority_id,exactMatch,broadMatch,narrowMatch,closeMatch,relatedMatch
131549,Zeichenkunst,"hertziana,khi,marburg",48830500,,,,,http://vocab.getty.edu/aat/300033973
62047,Druckgraphik,"hertziana,khi,marburg",48828300,,,,http://vocab.getty.edu/aat/300041273,
50877,Tafelmalerei,"hertziana,khi",48831700,,,,http://vocab.getty.edu/aat/300033656,
31995,Skulptur,"hertziana,khi,marburg",48846900,,,,,http://vocab.getty.edu/aat/300047090
29920,Malerei,"hertziana,khi,marburg",48835800,,,,,http://vocab.getty.edu/aat/300033618;http://vocab.getty.edu/aat/300054216
25180,Architektur,"hertziana,khi,marburg",48847700,http://vocab.getty.edu/aat/300263552,,,,
17690,vorbereitende Zeichnung,"hertziana,khi",48828700,http://vocab.getty.edu/aat/300068293,,,,
14307,Wandmalerei,"hertziana,khi,marburg",48830900,,http://vocab.getty.edu/aat/300033644,,,
10968,Angewandte Kunst,"hertziana,khi,marburg",48818700,,,,,http://vocab.getty.edu/aat/300054168;http://vocab.getty.edu/aat/300054704
5263,Bauskulptur,"hertziana,khi,marburg",48846100,http://vocab.getty.edu/aat/300379328,,,,
4314,Buchmalerei,"hertziana,khi",48834800,http://vocab.getty.edu/aat/300264522,,,,
4141,Deckenmalerei,"hertziana,khi",48834400,,http://vocab.getty.edu/aat/300033644,,,
3766,Sakralraumskulptur,"hertziana,khi,marburg",48840500,,http://vocab.getty.edu/aat/300047090,,,
3688,Grabskulptur,"hertziana,khi",48842100,http://vocab.getty.edu/aat/300184644,,,,
2901,Buchkunst,"hertziana,khi",48818300,http://vocab.getty.edu/aat/300178842,,,,
2526,Fotografie,"hertziana,khi",,,,,,
1284,Goldschmiedekunst,"hertziana,khi",48817700,http://vocab.getty.edu/aat/300044045,,,,
1031,Altarskulptur,"hertziana,khi",48846500,,http://vocab.getty.edu/aat/300047090,,,
973,Schriftkunst,"hertziana,khi",48815300,,,,http://vocab.getty.edu/aat/300266660,
954,Freiskulptur,"hertziana,khi",48842900,,http://vocab.getty.edu/aat/300047090,,,
905,Kleinskulptur,"hertziana,khi",48841300,,http://vocab.getty.edu/aat/300047090,,,
880,Portalskulptur,"hertziana,khi",48845300,,http://vocab.getty.edu/aat/300379328,,,
795,Mosaikkunst,"hertziana,khi",48847300,,,http://vocab.getty.edu/aat/300015342,,
700,Keramik,"hertziana,khi",,,,,,
532,Gartenskulptur,"hertziana,khi,marburg",48842500,,http://vocab.getty.edu/aat/300047090,,,
466,Brunnenskulptur,"hertziana,khi",48844100,,http://vocab.getty.edu/aat/300047090,,,
417,Fassadenskulptur,"hertziana,khi",48845700,,http://vocab.getty.edu/aat/300047090,,,http://vocab.getty.edu/aat/300378995
388,Gartenkunst,"hertziana,khi",49838900,,,,,http://vocab.getty.edu/aat/300417326
346,Textilkunst,"hertziana,khi",48814900,http://vocab.getty.edu/aat/300386843,,,,
302,Miniaturmalerei,"hertziana,khi",48832800,,,http://vocab.getty.edu/aat/300033936,,
288,Denkmalskulptur,"hertziana,khi,marburg",48843300,,http://vocab.getty.edu/aat/300006958,,,http://vocab.getty.edu/aat/300262491
277,Buchillustration,"hertziana,khi",48827100,,http://vocab.getty.edu/aat/300015578,,,
247,Einblattdruck,"hertziana,khi",48828100,,,,,http://vocab.getty.edu/aat/300310088
224,Glasmalerei,"hertziana,khi",48833600,http://vocab.getty.edu/aat/300263722,,,,
213,Gewölbemalerei,hertziana,,,,,,
188,Wandskulptur,"hertziana,khi",48844700,,http://vocab.getty.edu/aat/300047090,,,
