photographer,institute,wikidata,rev,discuss,possible umbrella term,separate entity,scope note (separate entity),scope note (umbrella term),Note,entity type,uncertainty,collaboration,,,,Quick stats,,,,,
Agnew and Son,frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"Agnew and Son, London",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
Agnew and Sons,frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"Agnew and Sons, London",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"T, Agnew and Sons, London",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
T. Agnew and Sons,frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"T. Agnew and Sons , London",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"T. Agnew and Sons, London",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"Thomas Agnew & Sons Ltd, London",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"Thomas Agnew & Sons, Inc., London",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
Thomas Agnew and Sons,frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"Thomas Agnew and Sons, London",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"Thomas Agnew and Sons, Ltd",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"Thomas Agnew and Sons, Ltd., London",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"Thomas Agnew and Sons, New York",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
Thomas Angew and Sons photograph,frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"Thomas S. Agnew and Sons, London",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"Thos Agnew and Sons, London",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"Thos. Agnew & Sons, London",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"Thos. Agnew and Sons, London",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"Thos. Agnew and Sons, Ltd",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"Thos. Angew and Sons, London",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
Agnew,frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"Agnew, London",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"unidentified photographic source (negative purchased from Agnew & Sons, July 24, 1949)",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
"unidentified photographic source (negative purchased from Agnew & Sons, July 29, 1949)",frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
Angew and Sons photograph,frick,http://www.wikidata.org/entity/Q17021787,,,Agnew,Agnew and Sons,,,,,,,,,,,,,,,
Thos. Agnew and Sons (W.E. Gray),frick,http://www.wikidata.org/entity/Q106417607,,,Agnew,"Gray, William Edward",,,,,,,,,,,,,,,
W.E. Gray- for Agnew and Sons,frick,http://www.wikidata.org/entity/Q106417607,,,Agnew,"Gray, William Edward",,,,,,,,,,,,,,,
W.E. Gray-for Agnew and Sons,frick,http://www.wikidata.org/entity/Q106417607,,,Agnew,"Gray, William Edward",,,,,,,,,,,,,,,
"W.E. Gray-for Agnew and Sons, London",frick,http://www.wikidata.org/entity/Q106417607,,,Agnew,"Gray, William Edward",,,,,,,,,,,,,,,
"W.E. Gray, London, Thos. Agnew and Sons, London",frick,http://www.wikidata.org/entity/Q106417607,,,Agnew,"Gray, William Edward",,,,,,,,,,,,,,,
"W.E. Gray, Thomas Agnew and Sons, London",frick,http://www.wikidata.org/entity/Q106417607,,,Agnew,"Gray, William Edward",,,,,,,,,,,,,,,
"Ahlers, Henrik",marburg,http://www.wikidata.org/entity/Q126720734,TRUE,,Ahlers,"Ahlers, Henrik",,,in wikidata: Henrik Ahlers,person,,,,,,institute,"initial values 
(column ""photographers"")","unique values 
(column ""separate 
entities"")","missing values 
(empty cells in 
column ""separate entities"")",,
"Ahlers, ?",marburg,http://www.wikidata.org/entity/Q126720734,FALSE,,Ahlers,"Ahlers, Henrik",,,,person,"Ahlers, Henrik",,,,,zeri,1807,1787,10,,
Alinari,khi,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,in wikidata: Fratelli Alinari,atelier,,,,,,khi,869,685,116,,
Alinari,hertziana,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,marburg,1134,730,189,,
Alinari,frick,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,hertziana,980,808,0,,
"Alinari family (Italian family of photographers, active 19th century)",itatti,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,itatti,743,504,52,,
Alinari Family [[ULAN 500313201]],itatti,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,frick,13124,2093,4597,,
"Alinari, Florence",frick,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,total,18657,6607,4964,,
"Alinari, Florence,",frick,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,unique,,5487,,,
"Alinari, Fratelli",zeri,http://www.wikidata.org/entity/Q644689,TRUE,TRUE,Alinari,Fratelli Alinari,,,,atelier,,,,,,wikidata,12894,1729,6508,5877,14114
