aat,AAT Facet,AAT Label,KHI,Hertziana,Marburg,Zeri,Frick,ITatti,PMC
http://vocab.getty.edu/aat/300033618,Objects Facet,"paintings (visual works) [en]
Gemälde [de]
","< Bild
= Gemälde","= Gemälde
< Bild","> Seidenmalerei
= Gemälde
< Bild","= dipinto
= dipinto",= painting,"= paintings
= paintings (visual works)
= painting",= paintings
http://vocab.getty.edu/aat/300033644,Objects Facet,"mural paintings (visual works) [en]
Wandmalerei (Gemälde) [de]
","> Wandmalerei
> Deckenmalerei
? Ausmalung
? Fassadenmalerei
> Wandbild
> Deckenbild
~ Gewölbebild
> Kuppelbild
> Zwickelbild
> Apsisbild
~ Apsisdekoration
> Pendentifbild","> Wandmalerei
> Deckenmalerei
? Ausmalung
? Fassadenmalerei
> Wandbild
> Deckenbild
~ Gewölbebild
> Kuppelbild
> Pendentifbild
> Zwickelbild
> Apsisbild
~ Apsisdekoration
~ Fußbodenbild","> Wandmalerei
> Deckenmalerei
? Ausmalung
? Fassadenmalerei
> Wandbild
> Deckenbild
~ Gewölbebild
> Zwickelbild
> Kuppelbild
> Pendentifbild
> Apsisbild
~ Apsisdekoration
~ Fußbodenbild",= dipinto murale,= mural,"= wall paintings
= mural paintings",
http://vocab.getty.edu/aat/300047090,Objects Facet,"sculpture (visual works) [en]
Skulptur (visuelles Werk) [de]
scultura [it]","? Skulptur
> Sakralraumskulptur
> Freiskulptur
> Altarskulptur
> Fassadenskulptur
> Gartenskulptur
> Kleinskulptur
> Brunnenskulptur
> Wandskulptur
> Tabernakelskulptur
> Giebelskulptur
> Brückenskulptur
> Liegefigur
> Bildwerk
> abstrakte Skulptur","? Skulptur
> Sakralraumskulptur
> Altarskulptur
> Kleinskulptur
> Brunnenskulptur
> Fassadenskulptur
> Freiskulptur
> Gartenskulptur
> Wandskulptur
> Tabernakelskulptur
> Brückenskulptur
> Raumskulptur
> Giebelskulptur
> Liegefigur
> Bildwerk
> abstrakte Skulptur
> Archivoltenfigur","? Skulptur
> Sakralraumskulptur
> Altarskulptur
> Kleinskulptur
> Freiskulptur
> Brunnenskulptur
> Gartenskulptur
> Fassadenskulptur
> Wandskulptur
> Giebelskulptur
> Brückenskulptur
> Tabernakelskulptur
> Pfeilerskulptur
> Hängeskulptur
> Raumskulptur
> Archivoltenfigur
> Liegefigur
> abstrakte Skulptur
> Bildwerk
> Balustradenfigur","= scultura
= scultura",= sculpture,"= sculpture (visual work)
= sculpture
= Sculptures",= sculpture
http://vocab.getty.edu/aat/300069079,Objects Facet,"panels (surface components) [en]
",,> Türfüllung,"= Füllbrett
> Türfüllung
> Wandbrett","= scomparto di polittico
> scomparto di predella
> pannello di cassone
> scomparto di trittico
> scomparto di anta di armadio
> scomparto di altarolo portatile
> scomparto di tabernacolo
> pannello di macchina processionale",,,
http://vocab.getty.edu/aat/300178235,Objects Facet,"polyptychs [en]
Polyptychon [de]
polittici [it]",= Polyptychon,= Polyptychon,= Polyptychon,"= scomparto di polittico
= polittico
> cuspide di polittico
> pilastrino di polittico
> sportello di polittico",,"= polyptychs
= polyptychs",
http://vocab.getty.edu/aat/300075940,Objects Facet,"altarpieces [en]
Altarbild [de]
pale d'altare [it]","= Altarbild
> Flügelaltar
> Ädikularetabel","= Altarbild
> Flügelaltar
> Ädikularetabel","= Altarbild
> Flügelaltar
> Ädikularetabel","= pala d'altare
> coperta di pala d'altare",,"= altarpieces
= altarpieces",
http://vocab.getty.edu/aat/300047600,Objects Facet,"statues [en]
statua [it]","= Statue
> Nischenfigur","= Statue
> Nischenfigur
> Doppelstatue","= Statue
> schwebende Figur
> Roland
> Nischenfigur
> Doppelstatue",= statua,,,
http://vocab.getty.edu/aat/300047230,Objects Facet,"reliefs (sculptures) [en]
Relief (Skulptur) [de]
","< Reliefplastik
= Relief
> Tympanonrelief
> Zwickelrelief
> Giebelrelief","< Reliefplastik
= Relief
> Zwickelrelief
> Tympanonrelief","< Reliefplastik
= Relief
> Tympanonrelief
> Zwickelrelief
> Giebelrelief
> Aufnehmerrelief",= rilievo,,"= sculpture (relief)
= reliefs (sculptures)
= reliefs
= relief sculpture",
http://vocab.getty.edu/aat/300003745,Objects Facet,"predellas [en]
Predella [de]
predelle [it]",= Predella,= Predella,"= Predella
> Predellenschrein","> scomparto di predella
= predella",,= predellas,
http://vocab.getty.edu/aat/300417950,Objects Facet,"busts (sculpture) [en]
",= Büste,= Büste,= Büste,= busto,,,
http://vocab.getty.edu/aat/300046025,Objects Facet,"medals [en]
Medaille (visuelles Werk) [de]
medaglie [it]",= Medaille,= Medaille,"= Medaille
> Bildnismedaille",= medaglia,,,
http://vocab.getty.edu/aat/300178234,Objects Facet,"triptychs [en]
Triptychon [de]
trittici [it]",= Triptychon,= Triptychon,= Triptychon,"= trittico
> scomparto di trittico
> sportello di trittico
> anta di trittico",,"= triptychs
= triptychs",
http://vocab.getty.edu/aat/300015342,Objects Facet,"mosaics (visual works) [en]
Mosaik (visuelles Werk) [de]
mosaico [it]","< Mosaikkunst
> Wandmosaik
> Fußbodenmosaik
= Mosaik
> Gewölbemosaik
> Apsismosaik
> Kuppelmosaik","< Mosaikkunst
= Mosaik
> Fußbodenmosaik
> Wandmosaik
> Gewölbemosaik
> Kuppelmosaik
> Apsismosaik","< Mosaikkunst
= Mosaik
> Fußbodenmosaik
> Wandmosaik
> Gewölbemosaik
> Kuppelmosaik
> Apsismosaik
> Deckenmosaik","= decorazione musiva
= mosaico","= mosaic
> detached mosaic",= mosaics,
