local_id,names,count,loc,rkd,ulan,viaf,wikidata,heritage_e_number,heritage_f_number,not_assigned,oxford_dict_nat_bio,gnd
6177,Paul  Mellon,7313,http://id.loc.gov/authorities/names/n50013907,https://rkd.nl/artists/357045,http://vocab.getty.edu/ulan/500253675,https://viaf.org/viaf/13551621,http://www.wikidata.org/entity/Q1542805,,,,71996,https://d-nb.info/gnd/119527162
4648,Joshua Reynolds,4207,http://id.loc.gov/authorities/names/n84168483,https://rkd.nl/artists/66483,http://vocab.getty.edu/ulan/500004539,http://viaf.org/viaf/27081216,http://www.wikidata.org/entity/Q194402,E8550,F1162; F1931; F5176; F8056; F8057; F8058; F8059; F8060; F8062; F8063,,,https://d-nb.info/gnd/118744771
1481,John Constable,2441,http://id.loc.gov/authorities/names/n80007977,,http://vocab.getty.edu/ulan/500115382,http://viaf.org/viaf/17265725,http://www.wikidata.org/entity/Q159297,E5875,F1509; F2510; F657; F7978; F7979; F7980,,,https://d-nb.info/gnd/118521934
5594,Joseph Mallord William Turner,1802,http://id.loc.gov/authorities/names/n79060712,,http://vocab.getty.edu/ulan/500026846,http://viaf.org/viaf/100900492,http://www.wikidata.org/entity/Q159758,E4510,F1245; F2136; F6023; F8082; F8083; F8084,,,https://d-nb.info/gnd/11862475X
4590,Allan Ramsay,1638,http://id.loc.gov/authorities/names/n85011073,,http://vocab.getty.edu/ulan/500019302,http://viaf.org/viaf/49266202,http://www.wikidata.org/entity/Q560792,E8499,F1154; F1926; F5125,,,https://d-nb.info/gnd/118749005
5409,John Talman,1555,http://id.loc.gov/authorities/names/nr00008518,,http://vocab.getty.edu/ulan/500000962,http://viaf.org/viaf/47896305,http://www.wikidata.org/entity/Q3809642,E9228,F5858; F8076; F8077; F8078; F8079,,,https://d-nb.info/gnd/131507710
5765,James Ward,1543,http://id.loc.gov/authorities/names/n84092821,,http://vocab.getty.edu/ulan/500115753,http://viaf.org/viaf/66475711,http://www.wikidata.org/entity/Q1681281,E9548,F1257; F2159; F6180; F6466; F8087,,,https://d-nb.info/gnd/118806181
6228,Unidentified Creator,1407,,,http://vocab.getty.edu/ulan/500355043,,,,,300386154,,
2903,William Hoare,1216,http://id.loc.gov/authorities/names/nr91018002,,http://vocab.getty.edu/ulan/500011916,http://viaf.org/viaf/61399384,http://www.wikidata.org/entity/Q1983389,E6802,F3424; F8022; F8023; F8024; F8025; F8026; F8027; F8028,,,https://d-nb.info/gnd/124317359
3580,Philippe Jacques de Loutherbourg,1203,http://id.loc.gov/authorities/names/n83177731,,http://vocab.getty.edu/ulan/500019411,http://viaf.org/viaf/316737010,http://www.wikidata.org/entity/Q1970087,E10004;E7628,F1034; F1826; F4249; F8040; F8041; F8042; F8043; F8044; F8045,,,https://d-nb.info/gnd/118780549
