count,city,name,wikidata_uri
2482,New Haven,Yale Center for British Art,http://www.wikidata.org/entity/Q6352575
1399,Kensington,"Victoria & Albert Museum, London",http://www.wikidata.org/entity/Q213322
620,,"Huntington Library, Art Collections and Botanical Gardens",http://www.wikidata.org/entity/Q1400558
617,,Royal Institute of British Architects,http://www.wikidata.org/entity/Q1067943
440,London,Sir John Soane's Museum,http://www.wikidata.org/entity/Q2060860
281,London,British Museum,http://www.wikidata.org/entity/Q6373
174,,Royal Academy of Arts,http://www.wikidata.org/entity/Q270920
171,,Leominster Museum,
160,,Woburn Abbey,http://www.wikidata.org/entity/Q1629626
108,,Bolton Public Library,
108,City of London,St Paul's Cathedral,
103,,Watford Museum,
101,Windsor,Windsor Castle,http://www.wikidata.org/entity/Q42646
99,,T. Raymond Barker,
90,Wiltshire,Stourhead,
89,,Dulwich Picture Gallery,
79,Kensington,Kensington Palace,
66,,Ham House and Garden,
63,City of London,Westminster Abbey,
55,,Royal Museums Greenwich,
53,Cambridgeshire,"Trinity College, Cambridge",
51,,Westminster School,
50,London,Royal College of Surgeons of England,
46,Bedfordshire,Southill Park,
46,London,Foundling Museum,
46,Richmond,Hampton Court Palace,
43,Buckinghamshire,Stowe House,
39,,The Fitzwilliam Museum,
36,Derbyshire,Chatsworth House,
31,London,Buckingham Palace,
27,London,Royal Collection Trust,
25,Wiltshire,Grittleton House,
24,,Reform Club,
24,West Sussex,Petworth House,http://www.wikidata.org/entity/Q2081335
23,Dorset,Melbury House,
20,Hampshire,Stratfield Saye House,
20,London,Apsley House,
20,Yorkshire,Wentworth Woodhouse,
19,Leicestershire,Belvoir Castle,
18,Warwickshire,Rugby School,
17,,Museum of London,
17,Windsor,Frogmore Estate,
14,,Tate,
14,Oxford,Pusey House,
13,City of London,Mansion House,
11,,Paul  Mellon,
9,,Bethlem Royal Hospital,
9,Norfolk,Holkham Hall,
6,Exeter,Exeter Cathedral,
5,,Tabley Hall,
4,,Lambeth Palace,
3,,Gainsborough's House,
3,London,National Portrait Gallery,
2,,Ashmolean Museum,
2,,Manchester Art Galleries,
2,,Plymouth City Museum and Art Gallery,
2,,St. Martin-in-the-Fields,
2,,"Yale University, Lewis Walpole Library",
2,Edinburgh,Scottish National Gallery,
1,,A. Paul Oppé,
1,,Birmingham Museum and Art Gallery,
1,,Brighton Museum & Art Gallery,
1,,Bucks Museum,
1,,Goodwood House,
1,,Government Art Collection,
1,,Guildhall Art Gallery,
1,,Kelvingrove Art Gallery and Museum,
1,,Maggi Hambling,
1,,Metropolitan Museum,
1,,Musée Carnavalet,
1,,Royal College of Physicians,
1,,Thomas Agnew and Sons Ltd.,
1,,Wesleyan University,
1,,Wolverhampton Art Gallery,
1,Cardiff,National Museum Wales,
1,London,"National Gallery, London",http://www.wikidata.org/entity/Q180788
1,Washington,"National Gallery of Art, DC",http://www.wikidata.org/entity/Q214867
