count,place,label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri
2482,New Haven,New Haven,New Haven,,,,inhabited places,Located on Quinnipiac River in S central Connecticut; in 1643 merged with neighboring areas to form New Haven Colony; in 1664 merged with chartered Connecticut Colony; was co-capital with Hartford 1701-1875; sided with British during American Revolution.,"city in Connecticut, United States",http://vocab.getty.edu/tgn/7014210,http://www.wikidata.org/entity/Q49145
1478,Kensington,Kensington,Kensington,,,,neighborhoods,,district within the Royal Borough of Kensington and Chelsea in central London,http://vocab.getty.edu/tgn/4012698,http://www.wikidata.org/entity/Q288781
899,London,Greater London,Greater London,Londra,,Grand Londres,metropolitan areas,"Conurbation centered on London city; it is comprised of 33 unitary authorities (the City of London, thirteen Inner London boroughs, and nineteen Outer London boroughs) and their neighborhoods. Due to growth, towns and cities previously in other counties are now part of Greater London. The historic counties of Kent, Hertfordshire, and Essex extend in area beyond the current administrative counties with the same names to include substantial parts of Greater London. Most of Greater London south of the Thames was once part of the historic county of Surrey, while most of Greater London north of the Thames was historically part of the county of Middlesex. It is sometimes still referred to as a metropolitan county (formed 1965) although the council was abolished in 1986.",,http://vocab.getty.edu/tgn/7008136,
184,City of London,London,London,Londra,,Londres,inhabited places,"Longtime seat of the British Empire and capital of the United Kingdom. It lies astride the River Thames 50 miles (about 80 km) upstream from its estuary on the North Sea. It has burned and been rebuilt several times, notably in revolt of Queen Boudicca in 60 CE and in the Great Fire of 1666. It became a large trade center in the Middle Ages and expanded rapidly during the 16th and 17th centuries and during the Industrial Revolution. During World War II the city was heavily bombed. London is not to be confused with Greater London which refers to all 32 London boroughs (Inner and Outer London boroughs) and the City of London; London is used to refer to the 12 Inner London boroughs and the City of London.",capital and largest city of England and the United Kingdom,http://vocab.getty.edu/tgn/7011781,http://www.wikidata.org/entity/Q84
118,Windsor,Windsor,Windsor,,,,inhabited places,A nearby prehistoric site was occupied by the Romans and the Saxons; dominated by William I's moated castle; a royal residence since the 11th century; the Long Walk in Windsor Great Park was created by Charles II; Eton College is across the River Thames.,,http://vocab.getty.edu/tgn/7011919,
115,Wiltshire,Wiltshire,Wiltshire,,,,counties,"County in southern England; watershed area separating basins of Bristol Channel, English Channel and River Thames; chalk uplands populated in prehistoric times and contains many stone monuments and burial mounds, including Neolithic Stonehenge and Avebury; primarily an agricultural area; administrative center is Trowbridge; Swindon became an independent unitary authority in 1997.","unitary authority (doesn't include Swindon) in Wiltshire, South West England, United Kingdom",http://vocab.getty.edu/tgn/7008180,http://www.wikidata.org/entity/Q21694746
53,Cambridgeshire,Cambridgeshire,Cambridgeshire,,,,counties,"Comprises low ridges, plains and former islands; crossed by rivers Nene and the Great Ouse; noted for archaeological sites (prehistoric tracks), Saxon churches and the university buildings of Cambridge; produces beets, potatoes, and fruit for canning.",,http://vocab.getty.edu/tgn/7011980,
46,Bedfordshire,Bedfordshire,Bedfordshire,,,,counties,"Comprises valley of River Great Ouse; occupied by Beaker peoples early Bronze Age (ca. 1800 BCE), Romans ca. 1st century, Anglo-Saxons and Danes 5th-6th centuries; boundries almost unchanged since 11th century; contains London's overflow airports and auto plants.",,http://vocab.getty.edu/tgn/7008103,
46,Richmond,Richmond,Richmond,,,,inhabited places,Sight of uprising during reign of Elizabeth I (1558-1603).,,http://vocab.getty.edu/tgn/7012405,
43,Buckinghamshire,Buckinghamshire,Buckinghamshire,,,,counties,"Inhabited by Neolithic peoples, Romans and Saxons; part of kingdom of Mercia; many great estates were built here after clearance of woodlands in 17th century; furniture and printing began after WW II.",,http://vocab.getty.edu/tgn/7008104,
