count,subject,exact,broader,iconclass subject
362,Sketchbook,,,
243,Album 3,,,
216,Sketchbooks,,,
205,Album Of Drawings,,,
183,Portrait Of A Lady,,,
158,A Gentleman,,,
157,Italian Sketch Books,,,
152,A Lady,,,
151,Landscape,,,
125,Portrait Of A Gentleman,,,
113,Small Sketchbook,,,
97,Self-Portrait,48B3,,
87,Self Portrait,48B3,,
75,A SKETCH BOOK,,,
65,Cryes Of London,,,
64,Dulwich College Sketchbook Ms Xv,,,
63,Sketchbook No 6,,,
61,Album 2,,,
61,Roman Sketchbook 1774,,,
59,1785 Octavo Notebook,,,
59,Unknown Lady,,,
57,Portrait Study,,,
57,Unknown Man,,,
56,Album Of Etchings Of Trees,,,
52,Sketches Of Scenery In The North Part Of Lancashire And In Cumberland And Westmorland,,,
51,Byng Sketchbook No 6,,,
50,"Catalogue of the Splendid Collection of Water-Colour Drawings, Formed by that distinguished Patron of Art, Elhanan Bicknell, Esq., deceased (London, 1863)",,,
50,Sketchbook No 4,,,
48,"Installation image ""Painting in England, 1700-1850"", Royal Academy of Arts, London",,,
48,Sketchbook No 1,,,
43,Classical Landscape,,,
42,Album Of Pen &amp; Ink &amp; Wash Sketches,,,
41,Portrait Of The Artist,,,
38,Royal Academy Album,,,
35,Ford Madox Brown Sketchbook,,,
34,Portrait Of A Man,,,
34,Unpublished Drawing From Cook's 3rd Voyage,,,
33,A Wooded River Landscape,,,
33,Album Leaf,,,
33,Italian Sketchbooks,,,
33,Sketchbook No 5,,,
33,"The Late Elhanan Bicknell (1788-1861): In Memoriam, 1863",,,
32,Coast Scene,,,
32,Figure Studies,,,
32,Landscape Study,,,
32,One Of Thirty Two Drawings In Album (16 Sheets Verso And Recto),,,
31,A Young Man,,,
31,Sheet Of Studies,,,
31,Windsor Castle,,,
29,A Young Lady,,,
29,Roman Sketchbook,,,
27,Portrait Of A Young Man,,,
26,Sketchbook No 3,,,
25,Byng Sketchbook No 4,,,
25,Byng Sketchbook No 5,,,
25,Charles II,,,
25,From A Series Of: Miracles Of The Virgin,,,
25,Sketchbook No. 4,,,
24,A River Landscape,,,
24,River Scene,,,
24,Roman Sketchbook 1746,,,
24,Spirit of Justice,,,
24,Untitled,,,
23,Full Cry,,,
23,Portrait of a Lady,,,
23,The Tower of London (detail),,,
22,A Wooded Landscape,,,
22,Cloud Study,,,
22,Old London Bridge (detail),,,
22,Unidentified Man,,,
21,Conway Castle,,,
21,Landscape With Figures,,,
21,Tivoli,,,
20,Covent Garden (detail),,,
20,Portrait Of A Girl,,,
20,Sketchbook With Blue Paper,,,
20,Sketches In Wales,,,
20,Two Gentlemen Out Shooting with Their Dogs (detail),,,
20,Westminster from Lambeth (detail),,,
19,Fitzwilliam Sketchbook,,,
19,Italian Landscape,,,
19,Mother And Child,,,
19,Portrait Studies,,,
19,Portrait of a Gentleman,,,
19,Study Of Trees,,,
18,A Young Girl,,,
18,Oliver Cromwell,,,
18,Sketches Of Spain &amp; Spanish Characters,,,
18,Still Life,,,
18,The Good Samaritan,,,
18,Venice,,,
17,Alexander Pope,,,
17,Book Illustration,,,
17,Charles James Fox,,,
17,Head Of A Man,,,
17,Seascape,,,
17,Sketch Book,,,
17,Unidentified Woman,,,
17,Unknown Gentleman,,,
16,Album 1/ F 47,,,
16,Charles I,,,
16,Lake Nemi,,,
16,Queen Victoria,,,
15,1st Duke Of Wellington,,,
15,A Girl,,,
15,Album 1/ F 48,,,
15,Autumn,,,
15,Chepstow Castle,,,
15,Elizabeth I,,,
15,Old London Bridge,,,
15,Pheasant Shooting,,,
15,Portrait Of A Boy,,,
15,Portrait Of A Young Girl,,,
15,Queen Charlotte,,,
15,Queen Elizabeth I,,,
15,River Landscape,,,
15,Summer,,,
15,The Death,,,
15,Tintern Abbey,,,
15,Tree Study,,,
15,Unidentified Landscape,,,
15,Wooded Landscape,,,
14,A Sketch Book,,,
14,"A Sketch Book, Inscribed On The End Paper And Fly Leaf John Flaxman Sculptor Began At Florence November The 4th 1787, Containing 78 Sketches In Pencil And Grey Wash Of Antique And Renaissance Sculpture In Florence And Rome, Some Inscribed, The Back With Various Invoices In Ink To Mr. Wedgwood And Mr. Deveare Dated 1788, 1789 And 1790, Bound In Vellum, Octavo",,,
14,Album - Sketches In Wales,,,
14,Album 1/ F 44,,,
14,Album 1/ F 45,,,
14,Album Of Etchings Of Trees.,,,
14,Chancer Study,,,
14,Chaucer Study,,,
14,Harlech Castle,,,
14,Henry VIII,,,
14,Hunting Scene,,,
14,Lake Avernus,,,
14,Landscape With Trees,,,
14,Solitude,,,
13,A Family Group,,,
13,A Man,,,
13,A Nobleman,,,
13,Dover,,,
13,Durham Cathedral,,,
13,Greenwich,,,
13,Haymaking,,,
13,The Evening Gun,,,
13,The Kill,,,
13,Unknown Woman,,,
12,A Boy,,,
12,A Frieze Of Famous Personages,,,
12,Album 1/ F 46,,,
12,Battle Scene,,,
12,Bolton Abbey,,,
12,Charity,,,
12,Evening,,,
12,Family Group,,,
12,"Frederick, Prince Of Wales",,,
12,"Illustrations To Don Quixote, Set Of 14",,,
12,Landscape Composition,,,
12,London Bridge,,,
12,Miscellaneous Drawings,,,
12,Mountainous Landscape,,,
12,Portrait Of A Woman,,,
12,The Story of the Oak Tree,,,
12,The Tribuna X-Ray detail,,,
12,The White Monk,,,
12,Venus And Cupid,,,
12,Wycliff Study,,,
11,1781 Continental Tour Day Book,,,
11,A Flagship Shortening Sail (detail),,,
11,A Young Gentleman,,,
11,Anne Of Denmark,,,
11,Burning The Rumps At Temple Bar - Detail,,,
11,Byng Sketchbook No 3,,,
11,Detail Of Midnight Modern Conversation,,,
11,Farm Buildings,,,
11,Fete Champetre,,,
11,Head Of A Girl,,,
11,"Henry, Prince Of Wales",,,
11,Hudibras Encounters The Skimmington - Detail,,,
11,Netley Abbey,,,
11,Partridge Shooting,,,
11,Portrait Of A Lady.,,,
11,Praed Sketchbook,,,
11,Sir Isaac Newton,,,
11,Sky Study,,,
11,Snipe Shooting,,,
11,Stonehenge,,,
11,The Annunciation,,,
11,The Bard,,,
11,View In Derbyshire,,,
11,Views of the Island of Bombay and Its Vicinity,,,
11,Warwick Castle,,,
11,William Hogarth,,,
11,William Pitt,,,
10,1785 Octavo Book,,,
10,A Horse,,,
10,Album 1 / F,,,
10,Album 1/ F 49,,,
10,Album of Drawings,,,
10,An Extensive River Landscape,,,
10,An Extensive Wooded River Landscape,,,
10,An Officer,,,
10,B M Sketchbook Lb 68,,,
10,Billingsgate Fish Market 1861 (Detail),,,
10,Byng Sketchbook No 2,,,
10,Cader Idris,,,
10,Covent Garden,,,
10,Cupid And Psyche,,,
10,Figure Study,,,
10,George II,,,
10,Harvest Time,,,
10,Head Of A Woman,,,
10,Ludlow Castle (detail),,,
10,Mary I,,,
10,Mountain Landscape,,,
10,Ophelia,,,
10,Page From A Scrapbook,,,
10,Rochester Castle,,,
10,Romantic Landscape,,,
10,Rouen,,,
10,Self - Portrait,48B3,,
10,The Bridge,,,
10,"The Grand Canal, Venice",,,
10,The Three Graces,,,
10,Views Of The Island Of Bombay And Its Vicinity,,,
10,Windermere,,,
10,Winter,,,
10,Woman's Head,,,
10,Woodland Scene,,,
10,Work,,,
9,A Romani Encampment,,,
9,A Young Woman,,,
9,Album 1/ F,,,
9,Album 1/ F 43,,,
9,An Extensive Wooded Landscape,,,
9,Antonio Canova,,,
9,Bacchus And Ariadne,,,
9,Beach Scene,,,
9,Caernarvon Castle,,,
9,Carnarvon Castle,,,
9,Egerton + Suelgrave 1978 No 1 P 25,,,
9,From An Album Of Illustrations Of Byron's 'corsair',,,
9,George III,,,
9,Horace Walpole,,,
9,Kenilworth Castle,,,
9,Lake Albano,,,
9,Male Nude,,,
9,Old Sarum,,,
9,On The Thames,,,
9,One Of A Set Of Nine Paintings Of British Birds,,,
9,PORTRAIT OF A GENTLEMAN,,,
9,Portrait Of A Girl.,,,
9,Portrait Of A Young Lady,,,
9,Queen Anne,,,
9,Shipping In A Calm,,,
9,Spring,,,
9,Studies Of Horses,,,
9,Sunset,,,
9,The Bay Of Naples,,,
9,The Deluge,,,
9,The Tribuna detail,,,
9,Trees,,,
9,Unknown Girl,,,
9,View From Caen Wood House Over London,,,
9,"Wall Painting, Drawing Room, Norbury Park",,,
9,detail: Westminster Bridge With Neighbouring Houses,,,
8,A Classical Landscape,,,
8,A Stag Hunt,,,
8,Admiral Lord Nelson,,,
8,An Extensive Landscape,,,
8,An Italian Landscape,,,
8,Borrowdale,,,
8,Charles James Fox (1749-1806),,,
8,David Garrick,,,
8,Detail From A Midnight Modern Conversation (2265),,,
8,Diana,,,
8,Edinburgh,,,
8,Episodes in the Life of a Race Horse,,,
8,Greenwich Hospital,,,
8,Harbour Scene,,,
8,Henrietta Maria,,,
8,Hudibras Sallying Forth - Detail,,,
8,Hudibras Triumphant - Detail,,,
8,Inigo Jones,,,
8,King George III,,,
8,Lady Mary Wortley Montagu,,,
8,Landscape With Cattle,,,
8,Landscape with Figures,,,
8,Lethaby Sketchbook No 20 (1887),,,
8,Lewis's Sketches &amp; Drawings Of The Alhambra,,,
8,Lewis's Sketches Of Spain &amp; Spanish Characters,,,
8,Man's Face,,,
8,"One Of Twelve Frontispieces To Bell's Edition Of ""Poets Of Great Britain""",,,
8,Portrait Of An Officer,,,
8,Portrait Of An Unknown Man,,,
8,Ship In A Storm,,,
8,Snowdon,,,
8,Study of Sails,,,
8,The Crucifixion,,,
8,The Cryes Of London,,,
8,The Flight Into Egypt,,,
8,The Fortune Teller,,,
8,Two Children,,,
