count,name,pseudonym,source,active_from,active_to,viaf,ulan,wikidata,wikipedia,source,loc,gnd
725,Robusti Jacopo,Tintoretto,data and vocab,1500,1637,http://viaf.org/viaf/95161574,http://vocab.getty.edu/ulan/500011407,http://www.wikidata.org/entity/Q9319,http://it.wikipedia.org/wiki/Tintoretto,data and vocab,http://id.loc.gov/authorities/names/n50011866,https://d-nb.info/gnd/118622854
627,Vecellio Tiziano,,data and vocab,1500,1650,http://viaf.org/viaf/109266837,http://vocab.getty.edu/ulan/500031075,http://www.wikidata.org/entity/Q47551,http://it.wikipedia.org/wiki/Titian,data and vocab,http://id.loc.gov/authorities/names/n79074519,https://d-nb.info/gnd/118622994
550,Caliari Paolo,Veronese,data and vocab,1500,1819,http://viaf.org/viaf/95162605,http://vocab.getty.edu/ulan/500021218,http://www.wikidata.org/entity/Q9440,http://it.wikipedia.org/wiki/Paolo_Veronese,data and vocab,http://id.loc.gov/authorities/names/n79040166,https://d-nb.info/gnd/118626647
547,Giordano Luca,,vocab,1650,1799,http://viaf.org/viaf/233370534,http://vocab.getty.edu/ulan/500115457,http://www.wikidata.org/entity/Q332494,,vocab,http://id.loc.gov/authorities/names/n85240521,https://d-nb.info/gnd/174212402
541,Guardi Francesco,,vocab,1700,1799,http://viaf.org/viaf/27073465,http://vocab.getty.edu/ulan/500017409,http://www.wikidata.org/entity/Q318769,,vocab,http://id.loc.gov/authorities/names/n50074509,https://d-nb.info/gnd/118543091
537,Bellini Giovanni,Giambellino,data and vocab,1430,1785,http://viaf.org/viaf/100161245,http://vocab.getty.edu/ulan/500019244,http://www.wikidata.org/entity/Q17169,http://it.wikipedia.org/wiki/Giovanni_Bellini,data and vocab,http://id.loc.gov/authorities/names/n50007140,https://d-nb.info/gnd/118508679
519,Canal Giovanni Antonio,Canaletto,data and vocab,1680,1820,http://viaf.org/viaf/88652637,http://vocab.getty.edu/ulan/500115269,http://www.wikidata.org/entity/Q182664,http://it.wikipedia.org/wiki/Canaletto,data and vocab,http://id.loc.gov/authorities/names/n79065963,https://d-nb.info/gnd/118638203
500,Magnasco Alessandro,,vocab,1625,1770,http://viaf.org/viaf/62343833,http://vocab.getty.edu/ulan/500015104,http://www.wikidata.org/entity/Q516941,,vocab,http://id.loc.gov/authorities/names/nr87000716,https://d-nb.info/gnd/118730169
469,Tiepolo Giovanni Battista,,vocab,1715,1799,http://viaf.org/viaf/71399712,http://vocab.getty.edu/ulan/500018523,http://www.wikidata.org/entity/Q186202,,vocab,http://id.loc.gov/authorities/names/n80045041,https://d-nb.info/gnd/118622625
442,Filipepi Alessandro,Sandro Botticelli,data and vocab,1465,1525,http://viaf.org/viaf/19686406,http://vocab.getty.edu/ulan/500015254,http://www.wikidata.org/entity/Q5669,http://it.wikipedia.org/wiki/Sandro_Botticelli,data and vocab,http://id.loc.gov/authorities/names/n79022942,https://d-nb.info/gnd/118514008
405,Giotto di Bondone,,vocab,1290,1350,http://viaf.org/viaf/27073355,http://vocab.getty.edu/ulan/500010766,http://www.wikidata.org/entity/Q7814,,vocab,http://id.loc.gov/authorities/names/n81071909,https://d-nb.info/gnd/118539477
