count,country,region,district,city,village,name,wikidata_uri
8752,,,,,,Ubicazione sconosciuta,
2787,Regno Unito,,,Londra,,Asta Christie's,http://www.wikidata.org/entity/Q503176
2280,Regno Unito,,,Londra,,Asta Sotheby's,http://www.wikidata.org/entity/Q654762
2077,Stati Uniti d'America,New York,,New York (NY),,Collezione S.H. Kress,http://www.wikidata.org/entity/Q2074027
1334,Stati Uniti d'America,District of Columbia,,Washington (DC),,National Gallery of Art,http://www.wikidata.org/entity/Q214867
1290,Italia,Lazio,Roma,Roma,,Mercato antiquario,
1132,Stati Uniti d'America,New York,,New York (NY),,Asta Sotheby's,http://www.wikidata.org/entity/Q654762
1006,Italia,Lombardia,Milano,Milano,,Collezione privata,
863,Italia,Lazio,Roma,Roma,,Collezione privata,
854,Stati Uniti d'America,New York,,New York (NY),,Asta Christie's,http://www.wikidata.org/entity/Q503176
847,Italia,Toscana,Firenze,Firenze,,"Palazzo degli Uffizi, Galleria degli Uffizi",http://www.wikidata.org/entity/Q51252
844,Italia,Lombardia,Milano,Milano,,Mercato antiquario,
831,Italia,Lombardia,Bergamo,Bergamo,,Accademia Carrara,http://www.wikidata.org/entity/Q338367
778,Regno Unito/ Stati Uniti d'America/ Francia,,,Londra/ New York (NY)/ Parigi,,"Duveen Brothers, Inc.",
702,Stati Uniti d'America,New York,,New York (NY),,The Metropolitan Museum of Art,http://www.wikidata.org/entity/Q160236
656,Francia,Île-de-France,,Parigi,,Collezione Dreyfus,
640,Regno Unito,,,Londra,,National Gallery,http://www.wikidata.org/entity/Q180788
624,Italia,Toscana,Firenze,Firenze,,Mercato antiquario,
623,Italia,Lazio,Roma,Roma,,Sestieri,
613,Regno Unito,,,Londra,,Mercato antiquario,
547,Italia,Lombardia,Milano,Milano,,Pinacoteca Nazionale di Brera,http://www.wikidata.org/entity/Q150066
525,Stati Uniti d'America,Maryland,,Baltimora (MD),,The Walters Art Museum,http://www.wikidata.org/entity/Q210081
520,Italia,Emilia Romagna,Bologna,Bologna,,Pinacoteca Nazionale,http://www.wikidata.org/entity/Q2095405
495,Italia,Toscana,Siena,Siena,,Pinacoteca Nazionale,http://www.wikidata.org/entity/Q2095405
480,,,,,,Collezione privata,
480,Italia,Toscana,Firenze,Firenze,,Collezione privata,
467,Italia,Lombardia,Milano,Milano,,Asta Finarte,
463,Germania,,,Berlino,,"Gemäldegalerie, Staatliche Museen zu Berlin",http://www.wikidata.org/entity/Q165631
455,Regno Unito,,,Londra,,Colnaghi,
441,Italia,Toscana,Firenze,Firenze,,"Palazzo Pitti, Galleria Palatina e Appartamenti Reali",http://www.wikidata.org/entity/Q29286
413,Regno Unito,,,Londra,,Bellesi,
412,Italia,Campania,Napoli,Napoli,,Museo e Gallerie Nazionali di Capodimonte,http://www.wikidata.org/entity/Q290549
400,Italia,Veneto,Venezia,Venezia,,Gallerie dell'Accademia,http://www.wikidata.org/entity/Q338330
399,Italia,Lazio,Roma,Roma,,Galleria Pallavicini,http://www.wikidata.org/entity/Q1817132
397,Francia,Île-de-France,,Parigi,,Musée du Louvre,http://www.wikidata.org/entity/Q19675
394,Città del Vaticano,,,Città del Vaticano,,"Palazzi Vaticani, Pinacoteca Vaticana",http://www.wikidata.org/entity/Q774940
374,Italia,Toscana,Firenze,Firenze,,Salocchi,
358,Stati Uniti d'America,New York,,New York (NY),,F. Mont,
358,Stati Uniti d'America,Pennsylvania,,Philadelphia (PA),,Philadelphia Museum of Art,http://www.wikidata.org/entity/Q510324
356,Italia,Lazio,Roma,Roma,,Galleria Nazionale d'Arte Antica di Palazzo Barberini,
354,Italia,,,Firenze/ Roma,,Contini Bonacossi,
339,Italia,Lazio,Roma,Roma,,Collezione M. Massarenti,
334,Italia,Lazio,Roma,Roma,,Galleria Borghese,http://www.wikidata.org/entity/Q841506
321,Italia,Umbria,Perugia,Perugia,,Galleria Nazionale dell'Umbria,http://www.wikidata.org/entity/Q2739127
315,Italia,Lazio,Roma,Roma,,Galleria Sangiorgi,
314,Italia,Lazio,Roma,Roma,,C. Sestieri,
314,Italia,Toscana,Firenze,Firenze,,Galleria dell'Accademia,http://www.wikidata.org/entity/Q10855544
313,Stati Uniti d'America,New York,,New York (NY),,Mercato antiquario,
295,Stati Uniti d'America,New York,,New York (NY),,Asta American Art Association,http://www.wikidata.org/entity/Q16961275
293,Stati Uniti d'America,Pennsylvania,,Philadelphia (PA),,Collezione J.G. Johnson,
289,Regno Unito,,,Londra,,Agnew's,http://www.wikidata.org/entity/Q17021787
287,Italia,Toscana,Firenze,Firenze,,Contini Bonacossi,
286,Germania,,,Monaco di Baviera,,"Alte Pinakothek, Bayerische Staatsgemäldesammlungen",http://www.wikidata.org/entity/Q154568
276,Austria,,,Vienna,,Asta Dorotheum,http://www.wikidata.org/entity/Q668545
272,Stati Uniti d'America,Massachusetts,,Cambridge (MA),,Harvard Art Museums - Fogg Museum,
268,Italia,Lazio,Roma,Roma,,Collezione G.P. Campana,
266,Ungheria,,,Budapest,,Museo di Belle Arti (Szépmüvészeti Múzeum),http://www.wikidata.org/entity/Q840886
244,Italia,Toscana,Firenze,Firenze,,Basilica di S. Croce,http://www.wikidata.org/entity/Q51177
242,Italia,Emilia Romagna,Bologna,Bologna,,Collezione privata,
240,Austria,,,Vienna,,Kunsthistorisches Museum,http://www.wikidata.org/entity/Q95569
239,Italia,Toscana,Firenze,Firenze,,Museo Nazionale del Bargello,http://www.wikidata.org/entity/Q388448
233,Italia,Veneto,Treviso,Treviso,,Museo Civico Luigi Bailo,http://www.wikidata.org/entity/Q51166
229,Stati Uniti d'America,New York,,New York (NY),,O. Klein,
226,Italia,,,,,Collezione privata,
219,Stati Uniti d'America,New York,,New York (NY),,French & Co.,http://www.wikidata.org/entity/Q18575739
213,Francia,Provenza-Alpi-Costa Azzurra,,Avignone,,Musée du Petit Palais,http://www.wikidata.org/entity/Q1664416
212,Italia,Emilia Romagna,Bologna,Bologna,,Mercato antiquario,
212,Italia,Emilia Romagna,Ferrara,Ferrara,,Pinacoteca Nazionale,http://www.wikidata.org/entity/Q2095405
212,Italia,Emilia Romagna,Modena,Modena,,Galleria Estense,http://www.wikidata.org/entity/Q774128
211,Italia,Lombardia,Milano,Milano,,Algranti,
211,Stati Uniti d'America,South Carolina,,Greenville (SC),,Bob Jones University Museum and Gallery,http://www.wikidata.org/entity/Q5481539
203,Italia,Liguria,Genova,Genova,,Collezione privata,
203,Italia,Toscana,Firenze,Firenze,,Palazzo Vecchio,http://www.wikidata.org/entity/Q271928
201,Italia,Toscana,Firenze,Firenze,,Asta Pandolfini,
199,Francia,Île-de-France,,Parigi,,Mercato antiquario,
197,Italia,Lazio,Roma,Roma,,Museo Nazionale del Palazzo di Venezia,http://www.wikidata.org/entity/Q1954305
196,Italia,Lazio,Roma,Roma,,Basilica di S. Paolo fuori le Mura,http://www.wikidata.org/entity/Q231699
195,Italia,Lazio,Roma,Roma,,Galleria Spada,http://www.wikidata.org/entity/Q3757699
191,Stati Uniti d'America,New York,,New York (NY),,J.H. Weitzner,
191,Stati Uniti d'America,New York,,New York (NY),,Wildenstein & Co.,http://www.wikidata.org/entity/Q10288082
188,Irlanda,,,Dublino,,National Gallery of Ireland,http://www.wikidata.org/entity/Q2018379
188,Italia,Toscana,Pisa,Pisa,,Museo Nazionale di S. Matteo,http://www.wikidata.org/entity/Q1081881
184,Stati Uniti d'America,Connecticut,,New Haven (CT),,Yale University Art Gallery,http://www.wikidata.org/entity/Q1568434
183,Italia,Lazio,Roma,Roma,,Galleria Colonna,http://www.wikidata.org/entity/Q1971299
182,Italia,Marche,Pesaro e Urbino,Pesaro,,"Musei Civici, Pinacoteca",
182,Italia,Veneto,Verona,Verona,,Museo di Castelvecchio,http://www.wikidata.org/entity/Q2518724
176,Italia,Emilia Romagna,Forlì - Cesena,Forlì,,Pinacoteca Civica,
176,Italia,Lazio,Roma,Roma,,Galleria Nazionale d'Arte Moderna,
176,Regno Unito,,,Londra,,Collezione privata,
175,Italia,Piemonte,Torino,Torino,,G. Zabert,
173,Italia,Lazio,Roma,Roma,,Galleria Doria Pamphilj,http://www.wikidata.org/entity/Q1203458
170,Italia,Lazio,Roma,Roma,,Asta Christie's,http://www.wikidata.org/entity/Q503176
170,Regno Unito,,,Londra,,Hallsborough Gallery,
170,Stati Uniti d'America,New York,,New York (NY),,Collezione privata,
165,Italia,Piemonte,Torino,Torino,,Mercato antiquario,
164,Italia,Piemonte,Torino,Torino,,Collezione privata,
162,Italia,Veneto,Verona,Verona,,Mercato antiquario,
161,Italia,Toscana,Firenze,Firenze,,E. Volpi,
161,Italia,Veneto,Venezia,Venezia,,Museo Correr,http://www.wikidata.org/entity/Q1470912
159,Stati Uniti d'America,Massachusetts,,Boston (MA),,Museum of Fine Arts,
158,Italia,Lombardia,Bergamo,Bergamo,,Mercato antiquario,
157,Paesi Bassi,,,Amsterdam,,Rijksmuseum,http://www.wikidata.org/entity/Q190804
155,Stati Uniti d'America,Michigan,,Detroit (MI),,Detroit Institute of Arts,http://www.wikidata.org/entity/Q1201549
154,Stati Uniti d'America,Florida,,Sarasota (FL),,John and Mable Ringling Museum of Art,http://www.wikidata.org/entity/Q612530
153,Italia,Lombardia,Milano,Milano,,"Castello Sforzesco, Pinacoteca",
151,Italia,Veneto,Venezia,Venezia,,Basilica di S. Marco,http://www.wikidata.org/entity/Q172988
150,Francia,Île-de-France,,Parigi,,Moratilla,
149,Italia,Campania,Napoli,Napoli,,Collezione privata,
146,Francia,Île-de-France,,Parigi,,D'Atri,
146,Stati Uniti d'America,New York,,New York (NY),,E. and A. Silberman Galleries,
144,Francia,Île-de-France,,Parigi,,E. Moratilla,
144,Spagna,,,Madrid,,Museo Nacional del Prado,http://www.wikidata.org/entity/Q160112
143,Italia,Lazio,Roma,Roma,,Galleria dell'Accademia Nazionale di San Luca,http://www.wikidata.org/entity/Q338523
142,Italia,Piemonte,Torino,Torino,,Galleria Sabauda,http://www.wikidata.org/entity/Q2245152
141,Stati Uniti d'America,Illinois,,Chicago (IL),,The Art Institute of Chicago,http://www.wikidata.org/entity/Q239303
140,Italia,Lazio,Roma,Roma,,Basilica di S. Maria Maggiore,
140,Italia,Umbria,Perugia,Assisi,,"Basilica di S. Francesco, Basilica inferiore",http://www.wikidata.org/entity/Q207486
138,Danimarca,,,Copenaghen,,Statens Museum for Kunst,http://www.wikidata.org/entity/Q671384
138,Italia,Emilia Romagna,Bologna,Bologna,,Chiesa di S. Giacomo Maggiore,
137,Italia,Veneto,Padova,Padova,,Musei Civici agli Eremitani,http://www.wikidata.org/entity/Q3867519
136,Italia,Lombardia,Milano,Milano,,Museo Poldi Pezzoli,http://www.wikidata.org/entity/Q1190657
136,Italia,Toscana,Firenze,Firenze,,Chiesa di S. Maria Novella,http://www.wikidata.org/entity/Q51175
136,Svizzera,,,Kreuzlingen,,Collezione H. Kisters,
134,Germania,,,Dresda,,"Gemäldegalerie Alte Meister, Staatliche Kunstsammlungen Dresden",http://www.wikidata.org/entity/Q4890
132,Italia,Lazio,Roma,Roma,,Gasparrini,
132,Italia,Toscana,Firenze,Firenze,,Museo di S. Marco,http://www.wikidata.org/entity/Q13453137
130,Italia,Lazio,Roma,Roma,,P. Paolini,
128,Regno Unito,,,Londra,,Wengraf Old Masters Gallery,
127,Italia,Toscana,Prato,Prato,,Asta Farsetti,
126,,,,,,Mercato antiquario,
126,Italia,Lazio,Roma,Roma,,Villa Farnesina,http://www.wikidata.org/entity/Q1126723
126,Italia,Liguria,La Spezia,La Spezia,,Museo Civico Amedeo Lia,http://www.wikidata.org/entity/Q3867771
126,Italia,Marche,Pesaro e Urbino,Urbino,,Galleria Nazionale delle Marche,http://www.wikidata.org/entity/Q1080108
125,Francia,Île-de-France,,Parigi,,Collezione privata,
123,Francia,Borgogna-Franca Contea,,Digione,,Musée des Beaux-Arts,
