count,country,region,district,city,village,tgn_or_wiki_label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri
174,Regno Unito,,,Londra,Richmond,Richmond,Richmond,,,,inhabited places,Sight of uprising during reign of Elizabeth I (1558-1603).,,http://vocab.getty.edu/tgn/7012405,
54,Italia,Toscana,Siena,Asciano,Chiusure,,,,,,,,,,
50,Stati Uniti d'America,New York,,New York (NY),Brooklyn,Brooklyn,,,,,inhabited places,,,http://vocab.getty.edu/tgn/2068222,
41,Italia,Emilia Romagna,Ferrara,Codigoro,Pomposa,,,,,,,,,,
37,Italia,Toscana,Firenze,Firenze,Galluzzo,Galluzzo,,,,,rioni,,,http://vocab.getty.edu/tgn/7006124,
36,Italia,Lazio,Frosinone,Cassino,Montecassino,"Montecassino, Abbazia di",,,,,abbeys,"Abbey founded by St. Benedict of Norcia, who died there. It was sacked by Lombards in 589, destroyed by Saracens in 884, and damaged by an earthquake in 1349. The monastery was rebuilt in the early 1500s, and the church was rebuilt and completed by 1727. It suffered more damage at the hands of the French in 1798, but was restored once again by Pope Pius VII. In 1806, it was secularized by Joseph Bonaparte, but nine years later, it was re-established. The abbey was reduced to ruins by Allied bombing in 1944, but has since been completely restored to its appearance after being rebuilt in 1727.",abbey,http://vocab.getty.edu/tgn/7006732,http://www.wikidata.org/entity/Q334051
27,Regno Unito,Gloucestershire,,Gloucester,Highnam,Highnam,,,,,inhabited places,A Cromwellian manor house is here.,,http://vocab.getty.edu/tgn/4005026,
26,Italia,Piemonte,Verbano-Cusio-Ossola,Stresa,Isola Bella,,,,,,,,,,
26,Italia,Umbria,Perugia,Trevi,Pietrarossa,,,,,,,,,,
25,Italia,Umbria,Terni,Narni,Schifanoia,Schifanoia,,,,,,,"Frazione (urban district) of Narni, Province Terni, in the Region of Umbria",,http://www.wikidata.org/entity/Q3952096
22,Italia,Toscana,Firenze,Fiesole,Vincigliata,Vincigliata,,,,,,,human settlement in Italy,,http://www.wikidata.org/entity/Q18487555
22,Italia,Toscana,Firenze,Scandicci,San Martino alla Palma,San Martino alla Palma,,,,,,,human settlement in Italy,,http://www.wikidata.org/entity/Q18487356
21,Italia,Umbria,Terni,Orvieto,Torre San Severo,,,,,,,,,,
20,Italia,Toscana,Firenze,Reggello,Vallombrosa,,,,,,,,,,
19,Italia,Emilia Romagna,Bologna,Minerbio,San Martino in Soverzano,San Martino in Soverzano,,,,,,,human settlement in Italy,,http://www.wikidata.org/entity/Q18438674
19,Italia,Lazio,Rieti,Torri in Sabina,Vescovio,,,,,,,,,,
19,Italia,Lombardia,Milano,Bollate,Castellazzo di Bollate,Castellazzo di Bollate,,,,,,,human settlement in Italy,,http://www.wikidata.org/entity/Q3662256
19,Italia,Veneto,Venezia,Venezia,Murano,Murano,Murano,,,,suburbs,"North suburb of Venice on 5 small islands; noted for basilica of SS. Maria e Donato (12th century), church of San Pietro Martire, and for the production of Venetian glass since the end of the 13th century.",,http://vocab.getty.edu/tgn/7003021,
18,Italia,Lazio,Roma,Palombara Sabina,Stazzano,,,,,,,,,,
18,Italia,Toscana,Arezzo,Chiusi della Verna,La Verna,,,,,,,,,,
