Value in SGTI (work of art record subject),cod ICONCLASS (Field DESI),
Madonna con Bambino,11 F 4,TRUE
Crocifissione di Cristo,73 D 64,TRUE
Annunciazione,73 A 5,TRUE
Ritratto maschile,61 B 2,TRUE
Madonna con Bambino in trono,11 F 42,TRUE
Madonna con Bambino e san Giovannino,11 F 62 : 11 F 74 1,TRUE
Adorazione dei Re Magi,73 B 57,TRUE
San Giovanni Battista,11 H (JOHN THE BAPTIST),TRUE
Adorazione dei pastori,73 B 25,TRUE
Madonna con Bambino e angeli,11 F 4 (+3),TRUE
Santi,11 H,TRUE
Maria Vergine annunciata,73 A 51,TRUE
San Sebastiano,11 H (SEBASTIAN),TRUE
Natività di Gesù,73 B 13,TRUE
Santa Caterina d'Alessandria,11 HH (CATHERINE),TRUE
Angelo annunciante,73 A 52 : 11 G 18 4,TRUE
Cristo crocifisso,11 D 36,TRUE
Madonna con Bambino e santi,11 F 61,TRUE
San Pietro,11 H (PETER),TRUE
Madonna con Bambino in trono e santi,11 F 42 (+5),TRUE
Ritratto femminile,61 BB 111,TRUE
Madonna con Bambino in trono e angeli,11 F 42 (+3),TRUE
Sacra Famiglia con san Giovannino,73 B 82 1,TRUE
Santa Maria Maddalena,11 HH (MARY MAGDALENE),TRUE
San Giovanni Evangelista,11 H (JOHN),TRUE
San Francesco d'Assisi,11 H (FRANCIS),TRUE
Cristo in pietà,73 D 73,TRUE
Sacra Famiglia,73 B 81,TRUE
Compianto sul Cristo morto,73 D 72,TRUE
Incoronazione di Maria Vergine,73 E 79,TRUE
Assunzione della Madonna,73 E 77,TRUE
Ritratto di gentiluomo,61 B 2,TRUE
San Girolamo,11 H (JEROME),TRUE
San Paolo,11 H (PAUL),TRUE
Cristo Redentore benedicente,73 E 15,TRUE
Sant'Antonio Abate,11 H (ANTONY ABBOT),TRUE
Battesimo di Cristo,73 C 12 1,TRUE
Ultima Cena,73 D 24,TRUE
San Francesco d'Assisi riceve le stimmate,11 H (FRANCIS) 59,TRUE
Santo vescovo,11 H : 11 P 31 13,TRUE
Matrimonio mistico di santa Caterina d'Alessandria,11 HH (CATHERINE) 34,TRUE
Pietà,73 D 72 21,TRUE
Orazione di Cristo nell'orto di Gethsemani,73 D 31 2,TRUE
San Girolamo penitente nel deserto,11 H (JEROME) 36,TRUE
San Michele Arcangelo,11G183,TRUE
Resurrezione di Cristo,73 E 12,TRUE
Adorazione del Bambino,73 B 2,TRUE
Ritratto di giovane uomo,61 B 2,TRUE
Presentazione di Gesù al Tempio,73 B 4,TRUE
San Giacomo Maggiore,11 H (JAMES THE GREAT),TRUE
Flagellazione di Cristo,73 D 35 1,TRUE
Visitazione,73 A 62 4,TRUE
Ritratto di gentildonna,61 BB 111,TRUE
Deposizione di Cristo nel sepolcro,73 D 76,TRUE
Riposo nella fuga in Egitto,73 B 65,TRUE
Santo,11 H,TRUE
Nascita di Maria Vergine,73 A 31,TRUE
Deposizione di Cristo dalla croce,73 D 71,TRUE
Ecce Homo,73 D 36 1,TRUE
Salita di Cristo al monte Calvario,73 D 4,TRUE
Fuga in Egitto,73 B 64 1,TRUE
Sant'Antonio da Padova,11 H (ANTONY OF PADUA),TRUE
Transito della Madonna,73 E 74,TRUE
Noli me tangere,73 E 31,TRUE
Santa Lucia,11 HH (LUCY),TRUE
Sposalizio di Maria Vergine,73 A 42,TRUE
Ritratto di giovane donna,61 BB 111,TRUE
San Nicola di Bari,11 H (NICHOLAS),TRUE
San Cristoforo,11 H (CHRISTOPHER),TRUE
San Lorenzo,11 H (LAURENCE),TRUE
Giuditta con la testa di Oloferne,71 U 42 73 1,TRUE
Presentazione di Maria Vergine al Tempio,73 A 34,TRUE
Santa Maria Maddalena penitente,11 H (MARY MAGDALENE) 36,TRUE
Cristo portacroce,73 D 41,TRUE
San Rocco,11 H (ROCH),TRUE
Sant'Agostino,11 H (AUGUSTINE),TRUE
Disputa di Gesù con i dottori del Tempio,73 B 93,TRUE
Circoncisione di Gesù,73 B 3,TRUE
Giudizio Universale,11 U 1,TRUE
Susanna e i vecchi,71 P 41,TRUE
Martirio di san Sebastiano,11 H (SEBASTIAN) 62,TRUE
San Bernardino da Siena,11 H (BERNARDINO),TRUE
Madonna,11 F,TRUE
San Bartolomeo,11 H (BARTHOLOMEW),TRUE
Cristo benedicente,11 D 32 21,TRUE
Cristo e l'adultera,73 C 72 22,TRUE
Santa,11 HH,TRUE
Cristo e la Samaritana al pozzo,73 C 72 21 1,TRUE
Strage degli innocenti,73 B 63 3,TRUE
San Domenico,11 H (DOMINIC),TRUE
Madonna della Misericordia,11 F 62 4,TRUE
Sant'Andrea,11 H (ANDREW),TRUE
Pentecoste,73 E 5,TRUE
Angelo,11 (+3),TRUE
Trinità,11 B,TRUE
Dio Padre benedicente,11 C 2,TRUE
Madonna addolorata,11 F 25,TRUE
Mosè salvato dalle acque,71 E 11 24 1,TRUE
Tobia e san Raffaele Arcangelo,71 T 54 ,TRUE
Angeli,11 G,TRUE
Ascensione di Cristo,73 E 42,TRUE
Madonna orante,11 F 23 1,TRUE
Apostoli,11 I 3,TRUE
Santo Stefano,11 H (STEPHEN),TRUE
Cristo in pietà tra la Madonna e san Giovanni Evangelista,73 D 73 31 1,TRUE
Martirio di san Lorenzo,11 H (LAURENCE) 62,TRUE
Conversione di san Paolo,73 F 22 12,TRUE
David con la testa di Golia,71 H 14 5,TRUE
San Marco Evangelista,11 H (MARK),TRUE
Adorazione del Bambino con san Giovannino,73 B 22,TRUE
Cena in Emmaus,73 E 34 3,TRUE
Dio Padre,11 C 2,TRUE
Motivi decorativi a grottesche,48 A 98 72,TRUE
Scena di battaglia,45 H 3,TRUE
Decapitazione di san Giovanni Battista,73 C 13 33,TRUE
Lapidazione di santo Stefano,73 F 35 63,TRUE
Profeti,11 I 1,TRUE
Profeta,11 I 1,TRUE
Resurrezione di Lazzaro,73 C 52 3,TRUE
San Ludovico di Tolosa,11 H (LOUIS OF TOULOUSE),TRUE
Adorazione del Bambino con san Giuseppe,73 B 23,TRUE
Sacra Famiglia con san Giovannino e sant'Elisabetta,73 B 82 11,TRUE
Sacrificio di Isacco,71 C 13 1,TRUE
Concerto,48 C 75 3,TRUE
San Benedetto,11 H (BENEDICT),TRUE
San Matteo Evangelista,11 H (MATTHEW),TRUE
Incredulità di san Tommaso,73 E 36,TRUE
San Giorgio e il drago,11 H (GEORGE) 41,TRUE
Cristo deriso,73 D 35 32,TRUE
Lot e le figlie,71 C 12 5,TRUE
Cattura di Cristo,73 D 31 4,TRUE
Madonna in adorazione del Bambino,73 B 21,TRUE
Sant'Agata,11 HH (AGATHA),TRUE
Nascita di san Giovanni Battista,73 A 14,TRUE
Annuncio ai pastori,73 B 14,TRUE
Cristo Redentore,73 E 15,TRUE
Cristo risorto,73 E 15,TRUE
Ritratto di cardinale,11 P 3112,TRUE
Salome con la testa di san Giovanni Battista,73 C 13 34 1,TRUE
