Counts,value,AAT Label,AAT Facet,exactMatch,broadMatch,URI,Work Example
74982,dipinto,"paintings (visual works) [en]
Gemälde [de]
",Objects Facet,http://vocab.getty.edu/aat/300033618,,https://artresearch.net/resource/zeri/vocabulary/dipinto,https://artresearch.net/resource/zeri/work/11316
10408,dipinto murale,"mural paintings (visual works) [en]
Wandmalerei (Gemälde) [de]
",Objects Facet,http://vocab.getty.edu/aat/300033644,,https://artresearch.net/resource/zeri/vocabulary/dipinto_murale,https://artresearch.net/resource/zeri/work/2294
6212,scultura,"sculpture (visual works) [en]
Skulptur (visuelles Werk) [de]
scultura [it]",Objects Facet,http://vocab.getty.edu/aat/300047090,,https://artresearch.net/resource/zeri/vocabulary/scultura,https://artresearch.net/resource/zeri/work/77585
1607,scomparto di polittico,"panels (surface components) [en]
",Objects Facet,http://vocab.getty.edu/aat/300069079,,https://artresearch.net/resource/zeri/vocabulary/scomparto_di_polittico,https://artresearch.net/resource/zeri/work/25149
1607,scomparto di polittico,"polyptychs [en]
Polyptychon [de]
polittici [it]",Objects Facet,http://vocab.getty.edu/aat/300178235,,https://artresearch.net/resource/zeri/vocabulary/scomparto_di_polittico,https://artresearch.net/resource/zeri/work/25149
1569,pala d'altare,"altarpieces [en]
Altarbild [de]
pale d'altare [it]",Objects Facet,http://vocab.getty.edu/aat/300075940,,https://artresearch.net/resource/zeri/vocabulary/pala_d_altare,https://artresearch.net/resource/zeri/work/31109
1478,statua,"statues [en]
statua [it]",Objects Facet,http://vocab.getty.edu/aat/300047600,,https://artresearch.net/resource/zeri/vocabulary/statua,https://artresearch.net/resource/zeri/work/78618
1292,rilievo,"reliefs (sculptures) [en]
Relief (Skulptur) [de]
",Objects Facet,http://vocab.getty.edu/aat/300047230,,https://artresearch.net/resource/zeri/vocabulary/rilievo,https://artresearch.net/resource/zeri/work/76415
1167,scomparto di predella,"panels (surface components) [en]
",Objects Facet,,http://vocab.getty.edu/aat/300069079,https://artresearch.net/resource/zeri/vocabulary/scomparto_di_predella,https://artresearch.net/resource/zeri/work/17709
1167,scomparto di predella,"predellas [en]
Predella [de]
predelle [it]",Objects Facet,,http://vocab.getty.edu/aat/300003745,https://artresearch.net/resource/zeri/vocabulary/scomparto_di_predella,https://artresearch.net/resource/zeri/work/17709
702,busto,"busts (sculpture) [en]
",Objects Facet,http://vocab.getty.edu/aat/300417950,,https://artresearch.net/resource/zeri/vocabulary/busto,https://artresearch.net/resource/zeri/work/81799
637,medaglia,"medals [en]
Medaille (visuelles Werk) [de]
medaglie [it]",Objects Facet,http://vocab.getty.edu/aat/300046025,,https://artresearch.net/resource/zeri/vocabulary/medaglia,https://artresearch.net/resource/zeri/work/85089
630,polittico,"polyptychs [en]
Polyptychon [de]
polittici [it]",Objects Facet,http://vocab.getty.edu/aat/300178235,,https://artresearch.net/resource/zeri/vocabulary/polittico,https://artresearch.net/resource/zeri/work/24761
543,trittico,"triptychs [en]
Triptychon [de]
trittici [it]",Objects Facet,http://vocab.getty.edu/aat/300178234,,https://artresearch.net/resource/zeri/vocabulary/trittico,https://artresearch.net/resource/zeri/work/21665
376,decorazione musiva,"mosaics (visual works) [en]
Mosaik (visuelles Werk) [de]
mosaico [it]",Objects Facet,http://vocab.getty.edu/aat/300015342,,https://artresearch.net/resource/zeri/vocabulary/decorazione_musiva,https://artresearch.net/resource/zeri/work/1704
375,pannello di cassone,"cassoni [en]
Cassone [de]
cassoni [it]",Objects Facet,,http://vocab.getty.edu/aat/300039007,https://artresearch.net/resource/zeri/vocabulary/pannello_di_cassone,https://artresearch.net/resource/zeri/work/26552
375,pannello di cassone,"panel paintings (paintings by form) [en]
Tafelbild (Gemälde) [de]
",Objects Facet,,http://vocab.getty.edu/aat/300033656,https://artresearch.net/resource/zeri/vocabulary/pannello_di_cassone,https://artresearch.net/resource/zeri/work/26552
