LCDN/PRCD,Type 1,Type 2,Sigla,Vocab,Complex cases,,
A. Angelini,A,,C,"Collection (intended as a group of objects propriety o a private individual, not a physical place)",B,B,Building in a building
A. B. Spreckels,A,,AH,Auction house,B,M,Museum in a building
A. Barbatano/ G. Longhi,A,,A,Art dealer/ antiquarian/ antiques gallery,B,C,Collection in building
A. Baslieri,A,,M,Museum/ public gallery/ cultural institution,M,M,Museum in museum
A. Biondi,A,,B,"Building (churches, palaces, castles...)",M,B,Museum in a building
A. Carrer,A,,,,M,C,Collection in museum
A. Caruisio,A,,,,C ,B,Collection in building
A. Cera,A,,,,B,AH,Auction house in building
A. De Clemente,A,,,,C,M,Collection in museum
A. Di Castro,A,,,,B,A ,Antiquarian in building
A. Di Castro/ Sestieri,A,,,,ERR,,sell event
A. du Vannes,A,,,,,,
A. e F. Di Castro,A,,,,,,
A. Geddes,A,,,,,,
A. Genelli,A,,,,,,
A. Hammer,A,,,,,,
A. Jandolo,A,,,,,,
A. Jandolo (?),A,,,,,,
A. Kauffmann,A,,,,,,
A. Latreille,A,,,,,,
A. Loewy,A,,,,,,
A. Martin,A,,,,,,
A. Orsi,A,,,,,,
A. Palloni,A,,,,,,
A. Peretti,A,,,,,,
A. Rindge Claflin,A,,,,,,
A. Ruck,A,,,,,,
A. Sabatello,A,,,,,,
A. Sarti,A,,,,,,
A. Stein,A,,,,,,
A. Stein/ G. Baroni,A,,,,,,
A. Temple,A,,,,,,
A. Tooth,A,,,,,,
A. Tooth & Sons,A,,,,,,
A. Volpini,A,,,,,,
A.B. van Hengel,A,,,,,,
A.F. Mondschein,A,,,,,,
A.G.H. Ward,A,,,,,,
A.J. Sulley & Co.,A,,,,,,
A.L. Nicholson,A,,,,,,
A.M. Bosco,A,,,,,,
A.S. Drey,A,,,,,,
A.V.I. Aste Vendite Internazionali s.r.l.,AH,,,,,,
Aartsbisschoppelijk Museum,M,,,,,,
Abbaye Notre Dame de Lérin,B,,,,,,
Abbaye Sainte-Marie-du-Mont-des-Cats,B,,,,,,
Abbazia dei SS. Salvatore e Lorenzo,B,,,,,,
Abbazia dei SS. Severo e Martirio,B,,,,,,
Abbazia della SS. Trinità,B,,,,,,
Abbazia della Trinità,B,,,,,,
Abbazia della Trinità di Cava,B,,,,,,
Abbazia delle Tre Fontane,B,,,,,,
"Abbazia delle Tre Fontane, Chiesa di S. Maria Scala Coeli",B,B,,,,,
"Abbazia delle Tre Fontane, Chiesa di S. Paolo",B,B,,,,,
Abbazia di Chiaravalle,B,,,,,,
Abbazia di Farfa,B,,,,,,
Abbazia di Fontevivo,B,,,,,,
"Abbazia di Grottaferrata, Basilica di S. Maria",B,B,,,,,
Abbazia di Hautecombe,B,,,,,,
Abbazia di Heisterbach,B,,,,,,
Abbazia di Monte Oliveto Maggiore,B,,,,,,
"Abbazia di Monte Oliveto Maggiore, Chiesa",B,B,,,,,
Abbazia di Montecassino,B,,,,,,
"Abbazia di Montecassino, Basilica Cattedrale",B,B,,,,,
Abbazia di Novalesa,B,,,,,,
Abbazia di Polirone,B,,,,,,
"Abbazia di Polirone, Basilica di S. Benedetto",B,B,,,,,
Abbazia di Pomposa,B,,,,,,
"Abbazia di Pomposa, Basilica di S. Maria",B,B,,,,,
"Abbazia di Pomposa, Museo pomposiano",B,M,,,,,
Abbazia di S. Antimo,B,,,,,,
Abbazia di S. Antonio di Ranverso,B,,,,,,
