,,,,,,,
,TERMS IN AUTS/AATS FIELDS (Connection with artist),BUT...WHO IS THE AUTHOR?,occurrences in first attribution,AAT Term,AAT Term Scope Note,AAT Term Page URI,Frick’s Scope Note
,(?),Probably the one in AUTN/AAT,3050,probably,"In cataloging and similar contexts, an indication that a fact or data is less than certain, but recognized as likely to be true. Indicates a level of certainty greater than ""possibly.""",http://vocab.getty.edu/page/aat/300435721,
,ambito,An anonymous related to AUTN/AAT,1462,circle of,"Qualifier used for a work by an unknown creator who appears to be associated with the named artist, he or she is living at the same time as the named artist, and probably had some contact with him or her, but not is necessarily his or her pupil.
 ",http://vocab.getty.edu/page/aat/300404283,
,ambito (?),An anonymous probably related to the one in AUTN/AAT,28,,,,
,attr.,"Probably the one in AUTN/AAT, but not for all art historians",1113,attributed to,"Qualifier used for attributions to express minor to moderate uncertainty regarding the attribution to a known creator, as when the work's provenance, style, or physical characteristics strongly suggest a given creator, but the attribution cannot be validated with absolute certainty (e.g., attributed to Frans Hals (Dutch painter, ca. 1581-1666)). ",http://vocab.getty.edu/page/aat/300404269,
,bottega,An anonymous related to AUTN/AAT,1657,workshop of,"Qualifier used for attributions of works by an unknown creator working under a master's name, generally in a system of apprenticeship common from ancient times through the mid-17th century (e.g., workshop of Gislebertus).",http://vocab.getty.edu/page/aat/300404274,
,bottega (?),An anonymous probably related to the one in AUTN/AAT,33,,,,
,calco da,An anonymous related to AUTN/AAT,0,,,,
,cerchia,An anonymous related to AUTN/AAT,486,circle of,"Qualifier used for a work by an unknown creator who appears to be associated with the named artist, he or she is living at the same time as the named artist, and probably had some contact with him or her, but not is necessarily his or her pupil.
 ",http://vocab.getty.edu/page/aat/300404283,
,cerchia (?),An anonymous probably related to the one in AUTN/AAT,4,,,,
,collaboratore,An anonymous related to AUTN/AAT,23,,,,
,copia da,An anonymous related to AUTN/AAT,25,after,Qualifier used for a work by an unknown creator who has created a copy of a known work of the named artist.,http://vocab.getty.edu/page/aat/300404286,
,copia da (?),An anonymous probably related to the one in AUTN/AAT,1,,,,
,e aiuti,The artist in AUTN/ AAT and a few other anonymous ones,300,assistant to not exactly,"Qualifier used for attributions of works by an unknown creator working as an assistant to a named artist, architect, or other creator whose staff is relatively small in number and do not call themselves a studio or an office. Also use for an assistant who worked in a studio or office, but in a special, close relationship to the named artist or architect.                                                             By all terms beginning with ""e"" (and) we rather mean that the work was made by the named artist, who was primarily responsible for it, but in collaboration with someone else in his or her workshop whose identity is unknown. The latter could be assistants within the atelier (e aiuti, e collaboratore/i, e scuola), or someone who worked shortly after (e seguace/i). This was quite common in the ateliers of Renaissance artists where the master made the main parts of a work and then it was completed by the pupils/assistants. Do you think there is a correct way to express this concept?
 ",http://vocab.getty.edu/page/aat/300404278  not exactly,
,e aiuti (?),The artist in AUTN/ AAT and a few other anonymous ones,6,,,,
,e bottega,The artist in AUTN/ AAT and a few other anonymous ones,238,,,,
,e bottega (?),The artist in AUTN/ AAT and a few other anonymous ones,2,,,,
,e collaboratore,The artist in AUTN/ AAT and another anonymous,1,,,,
,e collaboratori,The artist in AUTN/ AAT and a few other anonymous ones,42,,,,
,e scuola,The artist in AUTN/ AAT and a few other anonymous ones,16,,,,
,e seguace,The artist in AUTN/ AAT and another anonymous,0,,,,
,e seguaci,The artist in AUTN/ AAT and a few other anonymous ones,44,,,,
,falso,An anonymous related to AUTN/AAT,2,,,,
,falso (?),An anonymous probably related to the one in AUTN/AAT,2,,,,
,maniera,An anonymous related to AUTN/AAT,278,manner of,"Qualifier used for a work by an unknown creator whose style or elements of whose style are somewhat close to the style of the named artist, but whose work does not seem to be a deliberate copy of the named artist, and who generally lived in a period after the named artist.",http://vocab.getty.edu/page/aat/300404288,
,maniera (?),An anonymous probably related to the one in AUTN/AAT,1,,,,
,scuola,An anonymous related to AUTN/AAT,873,school of,"Qualifier used for a work by an unknown creator whose style is influenced by the named artist or architect or by the associates of the named artist, who is living at the same time or shortly after the named artist, but is not known to be a pupil or direct follower of the named artist (e.g., school of Rembrandt).",http://vocab.getty.edu/page/aat/300404284,
,scuola (?),An anonymous probably related to the one in AUTN/AAT,15,,,,
,seguace,An anonymous related to AUTN/AAT,1054,follower of,"Qualifier used for a work by an unknown creator whose style is strongly influenced by the named artist or architect, and who is living at the same time as or shortly after the named artist, but is not necessarily his or her pupil (e.g., follower of Hokusai). ",http://vocab.getty.edu/page/aat/300404282,
,seguace (?),An anonymous probably related to the one in AUTN/AAT,10,,,,
,stile,An anonymous related to AUTN/AAT,0,style of,"Qualifier used for a work by an unknown creator whose style is strongly influenced by the named artist or architect, and who is living at the same time as or shortly after the named artist, but is not necessarily his or her pupil",http://vocab.getty.edu/page/aat/300404282,
